N	2gram	Medvedev_F_1	Myshleni
1	с помощью	3	42
2	в процессе	9	27
3	и в	24	25
4	в том	6	23
5	на основе	6	22
6	что в	4	17
7	так же	4	17
8	таким образом	13	17
9	в основе	3	16
10	с тем	2	16
11	как и	11	15
12	то что	8	15
13	в его	23	15
14	в этом	15	14
15	вместе с	2	14
16	может быть	14	13
17	в целом	6	13
18	как бы	6	10
19	и не	20	10
20	и что	2	10
21	того что	5	10
22	было бы	6	10
23	что и	2	10
24	только в	2	10
25	связи с	3	9
26	как в	8	9
27	мы не	3	9
28	ни в	2	9
29	как мы	5	8
30	все эти	6	7
31	как это	6	7
32	по себе	5	7
33	в области	3	7
34	не менее	11	6
35	с другой	5	6
36	не в	8	6
37	же как	2	6
38	один из	3	6
39	мы видели	2	6
40	не может	16	6
41	в связи	4	6
42	и на	8	6
43	в основном	3	6
44	от этого	2	6
45	что он	3	6
46	в отношении	3	6
47	зависимости от	3	6
48	но не	3	6
49	со всеми	3	6
50	не только	7	6
51	все же	3	6
52	точки зрения	16	6
53	все это	9	6
54	так и	18	5
55	именно в	8	5
56	и как	3	5
57	но это	3	5
58	для него	3	5
59	одной стороны	4	5
60	при этом	5	5
61	значения и	2	5
62	с одной	4	5
63	с ее	7	5
64	если бы	4	5
65	в зависимости	2	5
66	и к	4	5
67	входит в	6	5
68	задачи и	4	5
69	в этой	6	5
70	независимо от	4	4
71	в частности	4	4
72	никогда не	4	4
73	в своем	11	4
74	прежде всего	22	4
75	к тому	3	4
76	смысле этого	3	4
77	всяком случае	4	4
78	отнюдь не	6	4
79	но и	7	4
80	от того	2	4
81	друг друга	4	4
82	а в	6	4
83	говорит он	3	4
84	в то	9	4
85	с ним	2	4
86	от нее	2	4
87	с этим	2	4
88	и все	6	4
89	еще не	6	4
90	мы увидим	4	4
91	он не	3	4
92	приводит к	2	4
93	во всяком	4	4
94	могло бы	2	4
95	в структуру	2	4
96	этого слова	3	4
97	и это	2	4
98	как с	2	4
99	с этой	4	3
100	в свою	8	3
101	в самом	5	3
102	не можем	2	3
103	в него	2	3
104	и их	10	3
105	значение в	3	3
106	отличается от	3	3
107	по отношению	4	3
108	в результате	2	3
109	между тем	2	3
110	в живом	6	3
111	во всем	2	3
112	его в	3	3
113	к которому	2	3
114	как она	3	3
115	не как	4	3
116	в жизни	3	3
117	остановиться на	2	3
118	для марксизма	3	3
119	сами по	2	3
120	не есть	2	3
121	или менее	6	3
122	когда он	3	3
123	если мы	2	3
124	между ними	3	3
125	место в	7	2
126	то же	10	2
127	проникать в	2	2
128	все время	2	2
129	подходит к	3	2
130	и от	7	2
131	со всей	3	2
132	является для	2	2
133	ни было	2	2
134	но все	2	2
135	свою очередь	6	2
136	метод в	4	2
137	все более	2	2
138	к другим	2	2
139	в новое	2	2
140	в нем	14	2
141	не имеющие	2	2
142	для этого	4	2
143	и других	3	2
144	должно быть	11	2
145	как на	4	2
146	от всех	3	2
147	в своих	2	2
148	на его	2	2
149	и здесь	6	2
150	ни на	3	2
151	того или	2	2
152	бы быть	2	2
153	бы в	3	2
154	с его	4	2
155	всех этих	3	2
156	главным образом	4	2
157	не приводит	3	2
158	в них	3	2
159	в одном	2	2
160	ясно что	3	2
161	или иного	3	2
162	и заключается	2	2
163	таким же	2	2
164	же в	3	2
165	одна из	2	2
166	и может	4	2
167	и потому	9	2
168	еще в	2	2
169	оно не	4	2
170	и особенно	2	2
171	вопрос об	2	2
172	отношению к	4	2
173	в мире	4	2
174	в своей	11	2
175	уже не	2	2
176	тем самым	3	2
177	и его	10	2
178	как их	2	2
179	или иначе	2	2
180	с другими	4	2
181	связи со	3	2
182	вступает в	2	2
183	в себе	3	2
184	в эту	2	2
185	а как	2	2
