N	2gram	Propp_Isto_2	Russkaja
1	не может	5	22
2	и не	11	19
3	в том	6	17
4	в этом	11	17
5	и в	15	14
6	то что	12	13
7	таким образом	7	11
8	то же	10	11
9	но и	14	10
10	том что	7	9
11	не только	18	9
12	в себе	4	9
13	может быть	17	9
14	прежде всего	5	8
15	того чтобы	2	8
16	к тому	5	7
17	и если	2	7
18	самом деле	2	7
19	мы должны	4	7
20	о том	3	7
21	и с	4	7
22	на самом	2	6
23	что он	24	6
24	с тем	9	6
25	все это	3	6
26	и для	2	6
27	себя и	2	5
28	хотя бы	2	5
29	он должен	2	5
30	вопрос о	4	5
31	на то	3	5
32	и на	4	5
33	при этом	4	5
34	до сих	6	5
35	было бы	5	5
36	он не	8	5
37	никогда не	15	5
38	в нем	7	5
39	сих пор	7	5
40	во всех	2	5
41	и только	2	5
42	по существу	2	5
43	а в	12	5
44	потому что	9	5
45	только в	6	5
46	но не	2	4
47	что в	12	4
48	как и	2	4
49	как бы	6	4
50	все же	9	4
51	вместе с	7	4
52	в их	3	4
53	приводит к	2	4
54	не в	7	4
55	можно было	5	4
56	и то	2	4
57	в этой	4	4
58	в его	6	4
59	его в	10	4
60	так как	14	4
61	к этой	4	4
62	что это	6	3
63	именно в	2	3
64	из этих	3	3
65	главным образом	2	3
66	этом случае	5	3
67	всех этих	3	3
68	да и	2	3
69	в другом	9	3
70	что они	10	3
71	в качестве	3	3
72	еще не	9	3
73	одной из	4	3
74	но если	3	3
75	знаем что	12	3
76	то это	6	3
77	что и	6	3
78	и т	19	3
79	из них	2	3
80	не было	2	3
81	того что	3	3
82	и по	2	3
83	или в	2	3
84	тем что	4	3
85	связи с	8	3
86	одна из	2	3
87	а с	2	2
88	этого не	5	2
89	зависит от	2	2
90	нисколько не	2	2
91	и более	2	2
92	и есть	5	2
93	у него	4	2
94	его и	4	2
95	с этим	5	2
96	точно так	6	2
97	к себе	2	2
98	состоит в	2	2
99	и вместе	2	2
100	не должен	4	2
101	ни в	2	2
102	так что	6	2
103	чтобы понять	2	2
104	но это	4	2
105	является не	2	2
106	есть и	2	2
107	она не	5	2
108	в ней	4	2
109	к чему	2	2
110	в котором	5	2
111	на этой	2	2
112	для нас	4	2
113	в некоторых	2	2
114	ее в	2	2
115	по отношению	3	2
116	это только	2	2
117	все эти	4	2
118	не просто	2	2
119	и что	6	2
120	тем самым	2	2
121	а не	5	2
122	и наконец	5	2
123	к нему	5	2
124	так же	13	2
125	в других	3	2
126	на которой	2	2
127	их в	2	2
128	в силу	2	2
129	мы можем	8	2
130	мы уже	6	2
131	во время	2	2
132	в таких	2	2
133	как будто	3	2
134	в этих	11	2
135	только с	2	2
136	но в	6	2
