N	2gram	Bakhtin_sl_2	DiskursI
1	не только	24	28
2	в том	5	23
3	а не	14	22
4	то есть	26	20
5	том что	5	19
6	может быть	37	17
7	и в	39	16
8	как и	6	16
9	в этом	16	15
10	еще не	7	14
11	но и	21	14
12	при этом	7	13
13	и т.п	2	12
14	прежде всего	8	11
15	но не	6	11
16	и не	22	11
17	с другой	5	10
18	как в	13	10
19	далеко не	2	10
20	в нем	19	9
21	отношению к	4	9
22	одной стороны	5	9
23	по отношению	4	9
24	не может	20	9
25	с одной	5	9
26	а также	3	8
27	так и	15	8
28	о том	2	8
29	но в	6	8
30	в основе	4	7
31	в его	7	7
32	то же	4	7
33	не было	2	7
34	роль в	2	7
35	в себе	2	7
36	только в	5	7
37	не в	9	7
38	в своем	6	6
39	и как	3	6
40	ни к	2	6
41	или иной	5	5
42	как бы	7	5
43	то что	2	5
44	во всех	12	5
45	в процессе	13	5
46	в отличие	12	5
47	а в	4	5
48	в себя	2	5
49	в их	2	5
50	отличие от	13	5
51	и на	4	5
52	в данном	2	5
53	с его	7	4
54	что в	3	4
55	в них	6	4
56	и к	6	4
57	что он	2	4
58	уже не	5	4
59	для него	7	4
60	в истории	11	4
61	же время	4	4
62	связи с	3	4
63	на его	2	4
64	отношение к	4	4
65	в особенности	3	4
66	лишь в	3	4
67	между тем	3	4
68	могут быть	7	4
69	перед нами	3	3
70	однако в	2	3
71	это не	5	3
72	как уже	2	3
73	по себе	5	3
74	что и	3	3
75	свою очередь	2	3
76	в свою	3	3
77	с этим	2	3
78	той или	5	3
79	или на	2	3
80	один из	5	3
81	не с	3	3
82	хотя бы	3	3
83	все же	6	3
84	таким образом	8	3
85	именно в	2	3
86	и даже	7	3
87	сказать что	3	3
88	точки зрения	8	3
89	в то	4	3
90	также и	2	3
91	зрения на	2	3
92	и потому	7	3
93	слова в	13	2
94	известной степени	2	2
95	говорит и	2	2
96	не менее	4	2
97	одновременно и	3	2
98	никогда не	7	2
99	этого жанра	2	2
100	или даже	3	2
101	и все	5	2
102	в одном	2	2
103	не всегда	2	2
104	стороны и	3	2
105	в историческом	2	2
106	к его	2	2
107	к различным	2	2
108	его как	2	2
109	в пределах	13	2
110	более того	2	2
111	в значительной	6	2
112	более или	2	2
113	на этом	3	2
114	отличается от	2	2
115	в сущности	6	2
116	значительной степени	6	2
117	одним из	2	2
118	хотя и	2	2
119	о нем	2	2
120	и др	4	2
121	например в	5	2
122	оно не	8	2
123	точка зрения	2	2
124	с ее	2	2
125	себя в	8	2
126	героя и	5	2
127	в различных	2	2
128	в форме	2	2
129	или менее	2	2
130	за пределы	2	2
131	языка и	9	2
132	дело с	4	2
133	жизни в	2	2
134	как к	3	2
135	отношения к	4	2
136	может и	2	2
137	уже в	2	2
138	человека в	5	2
139	как мы	7	2
140	не приходится	3	2
141	речи как	2	2
142	х годов	2	2
143	эпохи и	2	2
144	и его	33	2
145	говорящего и	2	2
146	или в	2	2
147	языка с	2	2
148	здесь в	3	2
149	во всяком	3	2
150	героя в	3	2
151	но как	2	2
152	в другом	2	2
153	на протяжении	2	2
154	так сказать	6	2
155	они не	2	2
156	в новом	2	2
