N	2gram	Vygotskiy__5	Vvedenie
1	и т	7	42
2	т д	3	36
3	и в	30	32
4	в том	27	31
5	в этом	14	30
6	может быть	11	26
7	том что	21	26
8	не только	16	22
9	для того	20	21
10	того чтобы	20	20
11	таким образом	20	19
12	то что	37	16
13	потому что	23	15
14	так как	9	15
15	не может	9	14
16	в самом	14	13
17	в нем	7	13
18	о том	10	13
19	со стороны	3	13
20	того что	8	12
21	в их	3	12
22	и не	6	12
23	как на	11	12
24	в его	4	12
25	только в	5	12
26	как мы	5	11
27	ясно что	6	11
28	и именно	4	11
29	в ее	3	11
30	в данном	3	11
31	что в	24	10
32	но в	5	9
33	и как	7	9
34	этом смысле	2	9
35	по себе	7	9
36	то же	7	9
37	в той	3	9
38	с другой	9	8
39	это не	3	8
40	не в	8	8
41	именно в	6	8
42	прежде всего	4	7
43	вопрос о	3	7
44	в большей	2	7
45	точки зрения	7	7
46	о котором	6	7
47	но не	7	7
48	было бы	5	7
49	все же	7	7
50	дело с	5	7
51	самом деле	8	7
52	можно было	3	7
53	не могут	3	6
54	из этих	3	6
55	до сих	5	6
56	том чтобы	2	6
57	один из	5	6
58	но и	6	6
59	все это	2	6
60	и даже	2	6
61	в то	2	6
62	как он	2	6
63	с тем	8	6
64	представить себе	2	6
65	вовсе не	3	6
66	как и	6	6
67	в качестве	2	6
68	сих пор	5	6
69	хотя бы	3	6
70	и его	6	6
71	этот вопрос	4	6
72	тем что	6	6
73	и это	8	6
74	уже в	6	5
75	иное как	2	5
76	так что	3	5
77	так например	3	5
78	на этот	3	5
79	как бы	19	5
80	и тем	6	5
81	в целом	5	5
82	а как	2	5
83	данном случае	3	5
84	другой стороны	5	5
85	имеет дело	4	5
86	в которых	2	5
87	сказать что	9	5
88	в них	4	5
89	как например	2	5
90	об этом	3	5
91	не есть	4	5
92	вместе с	12	5
93	т п	3	5
94	в течение	2	5
95	а не	8	5
96	могут быть	8	5
97	представляют собой	2	5
98	с этой	2	4
99	в каждом	2	4
100	этом случае	2	4
101	времени и	3	4
102	одной стороны	12	4
103	о чем	4	4
104	в котором	2	4
105	смотреть на	3	4
106	по отношению	2	4
107	этом отношении	3	4
108	с одной	12	4
109	и что	23	4
110	а в	4	4
111	даже и	2	4
112	что иное	2	4
113	как это	7	4
114	мы имеем	8	4
115	как она	4	4
116	должен был	4	4
117	сравнению с	4	4
118	что он	17	4
119	и заключается	4	4
120	не что	2	4
121	еще не	5	4
122	по сравнению	4	4
123	в своей	4	4
124	только что	4	4
125	внимание на	4	4
126	как раз	13	4
127	это только	3	4
128	и для	6	4
129	речь в	2	4
130	той же	3	4
131	и то	9	4
132	само по	2	4
133	в себе	5	4
134	совсем не	2	3
135	что это	8	3
136	и есть	5	3
137	в частности	4	3
138	в этих	3	3
139	понятно что	2	3
140	в конце	4	3
141	можно сказать	2	3
142	к тому	8	3
143	но все	2	3
144	в этой	5	3
145	на этом	6	3
146	что с	6	3
147	до конца	2	3
148	при этом	8	3
