N	2gram	Nazirov_Vr_1	DiskursI
1	в себе	2	19
2	при этом	4	17
3	и в	8	16
4	может быть	4	16
5	как и	6	16
6	в этом	8	16
7	и не	5	15
8	и т.п	2	12
9	в мире	2	11
10	но и	7	11
11	тогда как	2	11
12	но в	6	11
13	том что	3	10
14	не только	9	10
15	не может	2	9
16	в том	3	8
17	а также	2	8
18	не менее	2	7
19	в нем	6	7
20	с его	3	6
21	отнюдь не	2	6
22	еще не	2	6
23	все же	6	6
24	в своей	2	6
25	то же	5	6
26	в своих	4	6
27	а с	2	5
28	что в	7	5
29	в своем	3	5
30	же время	5	5
31	для него	2	5
32	то что	7	5
33	в то	5	5
34	к этому	3	4
35	как бы	4	4
36	человека в	3	4
37	в период	2	4
38	точки зрения	2	4
39	в этой	2	4
40	и то	2	4
41	о том	4	4
42	в них	2	3
43	столь же	2	3
44	это не	4	3
45	и все	7	3
46	уже не	2	3
47	и как	3	3
48	он не	3	3
49	в его	3	3
50	в русской	3	3
51	в котором	6	3
52	из них	2	3
53	и ее	2	3
54	не было	5	3
55	и его	3	3
56	но это	2	3
57	его в	3	3
58	место в	2	2
59	же как	2	2
60	никогда не	2	2
61	это в	2	2
62	этот человек	2	2
63	на первый	2	2
64	в той	2	2
65	что он	4	2
66	отношение к	2	2
67	о чем	2	2
68	в ней	4	2
69	далеко не	3	2
70	с точки	2	2
71	вместе с	2	2
72	русской литературе	3	2
73	записки охотника	3	2
74	там же	2	2
75	все это	4	2
76	а в	2	2
77	их в	2	2
78	и с	6	2
79	и это	2	2
80	между тем	5	2
