N	2gram	Medvedev_F_3	RusskieA
1	и в	27	36
2	не только	9	22
3	что в	8	19
4	том что	4	19
5	в том	7	17
6	т е	32	17
7	но и	10	16
8	так как	9	15
9	п в	2	13
10	в этом	18	12
11	это не	3	10
12	как мы	8	10
13	как и	14	10
14	и т	11	10
15	вместе с	6	10
16	и на	3	10
17	потому что	7	10
18	т д	6	9
19	с тем	7	8
20	у нас	3	8
21	мы увидим	2	8
22	из них	2	8
23	может быть	25	8
24	о том	4	8
25	как это	4	8
26	что они	5	7
27	что и	2	7
28	так и	21	7
29	между тем	7	7
30	и не	30	6
31	для нас	3	6
32	при этом	8	6
33	в них	3	6
34	уже не	3	6
35	таким образом	18	6
36	мы не	4	6
37	все это	7	6
38	то что	8	6
39	все же	6	5
40	как бы	8	5
41	а и	3	5
42	в которых	3	5
43	как в	4	5
44	тому что	3	4
45	из этих	2	4
46	к этому	2	4
47	к тому	4	4
48	одна из	2	4
49	еще не	6	4
50	связи с	5	4
51	еще в	3	4
52	и др	2	4
53	во всех	3	4
54	и их	5	4
55	в россии	2	4
56	так в	2	4
57	не может	24	4
58	в связи	4	4
59	входит в	8	4
60	и что	3	4
61	того что	3	4
62	что этот	2	4
63	но это	2	4
64	а иногда	2	4
65	тем что	5	4
66	только в	8	4
67	не менее	7	3
68	для них	7	3
69	что это	3	3
70	в этих	3	3
71	в своем	2	3
72	таким же	2	3
73	тем не	2	3
74	на этом	2	3
75	не можем	2	3
76	в целях	2	3
77	только на	4	3
78	в основном	2	3
79	или на	2	3
80	и из	2	3
81	то же	15	3
82	с точки	14	3
83	так же	9	3
84	и те	4	3
85	ничего не	2	3
86	их в	3	3
87	точки зрения	16	3
88	этого слова	2	3
89	связаны с	2	3
90	в области	2	3
91	всех этих	2	2
92	и более	3	2
93	независимо от	5	2
94	могут быть	4	2
95	его и	3	2
96	между собой	4	2
97	к другому	2	2
98	и потому	5	2
99	в каждом	5	2
100	главным образом	2	2
101	на все	2	2
102	что именно	5	2
103	в нем	15	2
104	в жизни	11	2
105	его от	2	2
106	он был	4	2
107	и как	4	2
108	в дальнейшем	5	2
109	такой же	2	2
110	но не	5	2
111	они и	3	2
112	в большинстве	4	2
113	до конца	4	2
114	она не	4	2
115	же а	2	2
116	отнюдь не	8	2
117	к материалу	3	2
118	связь между	4	2
119	имеет место	3	2
120	в ней	5	2
121	в его	7	2
122	не значит	2	2
123	и с	3	2
124	в целом	4	2
125	как не	2	2
126	что она	2	2
127	за счет	2	2
128	для этого	2	2
129	не на	3	2
130	все эти	6	2
131	в какой	3	2
132	на самом	14	2
133	можно говорить	4	2
134	а не	17	2
135	и пр	15	2
136	и для	6	2
137	в своих	6	2
138	мы можем	4	2
139	но в	6	2
140	мы должны	2	2
141	как он	2	2
142	там где	7	2
143	большинстве случаев	5	2
