N	2gram	Losev_Prob_3	Analitik
1	в этом	17	18
2	в частности	2	16
3	и в	44	16
4	не только	14	16
5	так и	10	15
6	как и	10	14
7	в том	21	12
8	но и	10	12
9	и не	35	12
10	том что	12	12
11	в качестве	3	11
12	могут быть	2	10
13	как бы	9	10
14	при этом	4	10
15	а не	18	10
16	и даже	14	9
17	в этой	3	9
18	ничего не	3	9
19	то есть	34	9
20	в данном	9	8
21	отнюдь не	10	8
22	в целом	6	8
23	к тому	3	7
24	в себе	8	7
25	то что	23	7
26	о том	6	7
27	а также	4	7
28	с другой	7	6
29	в самом	3	6
30	говорить о	3	6
31	может быть	28	6
32	как это	2	6
33	но в	12	6
34	произведения в	2	5
35	и к	6	5
36	в контексте	2	5
37	данном случае	7	5
38	с одной	2	5
39	не менее	10	4
40	в своем	5	4
41	в конце	5	4
42	можно сказать	6	4
43	о его	2	4
44	этом случае	5	4
45	уже не	7	4
46	не в	13	4
47	за пределы	5	4
48	но не	3	4
49	того же	2	4
50	тем самым	5	4
51	для него	3	4
52	и является	4	4
53	и особенно	2	4
54	и тем	9	4
55	во всех	2	4
56	как в	5	4
57	все это	5	4
58	как раз	8	4
59	не может	7	4
60	и его	5	4
61	то же	13	4
62	не так	3	4
63	хотя и	5	4
64	он в	2	4
65	точки зрения	5	4
66	только в	19	4
67	содержит в	3	3
68	не был	2	3
69	никогда не	6	3
70	в нашем	5	3
71	как о	5	3
72	не столько	2	3
73	по крайней	5	3
74	прежде всего	3	3
75	или иного	3	3
76	или иной	8	3
77	этого слова	5	3
78	тем не	10	3
79	так что	12	3
80	с самим	3	3
81	есть в	3	3
82	по поводу	2	3
83	было бы	8	3
84	и сам	5	3
85	крайней мере	5	3
86	и если	6	3
87	со своим	2	3
88	на себе	3	3
89	мы имеем	2	3
90	ни о	3	3
91	и за	2	3
92	или в	4	3
93	той или	12	3
94	что и	9	3
95	из них	2	3
96	в их	2	3
97	только на	5	3
98	если бы	3	3
99	именно в	2	3
100	того или	6	3
101	можно было	4	3
102	а в	5	3
103	как мы	8	3
104	и то	14	3
105	в результате	2	3
106	тем что	4	3
107	как будто	3	3
108	бы в	2	3
109	едва ли	5	3
110	и все	3	3
111	а как	2	2
112	художественного произведения	14	2
113	того что	8	2
114	при таком	2	2
115	или даже	5	2
116	что все	2	2
117	вовсе не	37	2
118	с людьми	2	2
119	или иных	4	2
120	по себе	25	2
121	на то	3	2
122	его как	3	2
123	отличие от	3	2
124	по существу	2	2
125	том или	3	2
126	а то	3	2
127	что в	8	2
128	с их	2	2
129	она не	3	2
130	еще не	5	2
131	о чем	2	2
132	такого рода	6	2
133	в своей	5	2
134	нас к	2	2
135	ни с	4	2
136	некоторого рода	10	2
137	в таких	3	2
138	в котором	2	2
139	себе не	2	2
140	для нее	2	2
141	это было	2	2
142	не есть	35	2
143	с ее	2	2
144	с той	5	2
145	себя в	2	2
146	в отличие	2	2
147	вместе с	2	2
148	дело не	2	2
149	другой стороны	5	2
150	языка и	4	2
151	собственно говоря	5	2
152	отношения к	3	2
153	таким образом	9	2
154	здесь в	3	2
155	на котором	2	2
156	отвлеченной мысли	2	2
157	но эта	3	2
158	тех или	5	2
159	на этот	4	2
160	не имеет	9	2
161	и для	2	2
162	с точки	2	2
163	так же	5	2
164	в таком	5	2
165	и до	2	2
166	никак не	9	2
167	на которую	3	2
168	и во	2	2
169	он не	8	2
170	или ином	2	2
171	он и	2	2
172	в то	9	2
173	в его	9	2
174	жизни но	2	2
175	его в	3	2
176	в этих	2	2
177	таком случае	4	2
178	сказать что	16	2
179	с ним	7	2
180	же не	2	2
