N	2gram	Tiupa_Disk_2	Problema
1	то есть	12	46
2	в его	3	43
3	и не	15	42
4	и в	16	38
5	не может	9	27
6	может быть	16	26
7	как бы	4	22
8	по отношению	4	21
9	отнюдь не	6	19
10	отношению к	4	19
11	и с	2	17
12	и его	3	16
13	в нем	7	15
14	в этом	16	15
15	прежде всего	7	13
16	только в	3	13
17	но не	7	12
18	ни в	7	11
19	и для	2	11
20	в области	2	11
21	отношение к	2	10
22	но и	11	9
23	его в	3	9
24	не только	10	9
25	место в	2	8
26	в том	8	8
27	и как	3	8
28	точки зрения	4	8
29	произведения как	2	8
30	то что	5	8
31	входит в	2	8
32	что в	5	7
33	с другой	5	7
34	не в	3	7
35	объекта и	2	7
36	между тем	2	7
37	как и	16	7
38	еще не	6	7
39	в своей	6	7
40	в пределах	4	6
41	не к	2	6
42	и наконец	3	6
43	а в	2	6
44	все же	6	6
45	с точки	2	6
46	то же	6	5
47	в своем	5	5
48	это не	3	5
49	при этом	17	5
50	никогда не	2	5
51	все эти	3	5
52	должно быть	2	5
53	в основе	4	5
54	может иметь	2	5
55	далеко не	2	5
56	в них	3	5
57	не нужно	2	5
58	в большинстве	2	5
59	так и	9	5
60	и прежде	2	5
61	не на	2	5
62	в отличие	12	5
63	а не	14	5
64	могут быть	3	5
65	отличие от	12	5
66	должна быть	2	4
67	не менее	7	4
68	в ней	2	4
69	другой стороны	2	4
70	данном случае	6	4
71	в то	5	4
72	о том	4	4
73	но в	11	4
74	не с	2	4
75	как в	8	4
76	может и	2	4
77	тем самым	6	4
78	в данном	7	4
79	в себе	19	4
80	здесь не	2	4
81	вследствие этого	2	3
82	основе своей	2	3
83	но это	3	3
84	же время	5	3
85	из важнейших	2	3
86	одной стороны	4	3
87	например в	3	3
88	не является	4	3
89	в целом	2	3
90	все это	2	3
91	с одной	4	3
92	и на	5	3
93	также и	3	3
94	и все	3	3
95	но здесь	2	3
96	том что	10	3
97	говорить о	2	3
98	он не	3	3
99	на почве	2	3
100	слова не	2	3
101	приводит к	3	3
102	в мире	11	3
103	не знает	3	3
104	и это	2	3
105	ни к	5	2
106	в частности	12	2
107	в этих	3	2
108	столь же	3	2
109	или иной	3	2
110	можно сказать	3	2
111	не более	2	2
112	совпадает с	2	2
113	той или	3	2
114	в котором	3	2
115	но она	3	2
116	не было	3	2
117	этом отношении	4	2
118	чем не	2	2
119	в своих	6	2
120	не следует	3	2
121	к его	4	2
122	мы имеем	2	2
123	с его	6	2
124	к этому	4	2
125	или иного	2	2
126	на первый	2	2
127	что он	2	2
128	а к	2	2
129	здесь в	3	2
130	в строгом	3	2
131	что и	2	2
132	себя в	6	2
133	в лирике	7	2
134	человека в	4	2
135	в себя	2	2
136	к своему	2	2
137	и ее	3	2
138	в другом	3	2
139	дело в	2	2
