N	2gram	Propp_Isto_4	Poddanst
1	не только	15	17
2	и в	26	14
3	и не	9	12
4	в области	2	11
5	в этом	7	10
6	то же	8	9
7	в том	3	9
8	в качестве	7	9
9	но в	5	9
10	хотя бы	2	8
11	только в	3	7
12	но и	12	6
13	было бы	2	6
14	с другой	4	5
15	не в	5	5
16	в которых	4	5
17	и пр	11	5
18	может быть	14	5
19	же в	3	4
20	то что	16	4
21	что в	14	4
22	если бы	2	4
23	в своем	2	4
24	не может	6	4
25	по себе	2	4
26	а в	8	4
27	том что	3	4
28	мы должны	5	4
29	и если	3	4
30	в русской	3	4
31	а также	3	4
32	как бы	3	4
33	в нем	2	3
34	и т	27	3
35	с тем	2	3
36	это не	5	3
37	т е	18	3
38	и как	5	3
39	с ними	5	3
40	но не	5	3
41	могут быть	6	3
42	в себе	2	3
43	что мы	3	3
44	наряду с	3	3
45	потому что	6	3
46	хотя и	2	3
47	не менее	2	2
48	сомнения что	2	2
49	и тем	2	2
50	не к	2	2
51	и есть	2	2
52	в частности	2	2
53	в северной	2	2
54	все это	2	2
55	и и	3	2
56	с этим	2	2
57	между прочим	2	2
58	главным образом	2	2
59	и других	3	2
60	и вот	2	2
61	только это	2	2
62	а не	6	2
63	того что	2	2
64	для нас	3	2
65	есть в	2	2
66	одна из	2	2
67	в силу	5	2
68	в виде	2	2
69	по сравнению	3	2
70	из них	2	2
71	например в	3	2
72	в его	5	2
73	и с	5	2
