N	2gram	Nazirov_Vr_1	Vladivir
1	и в	8	31
2	в году	18	30
3	не только	9	24
4	но и	7	19
5	то что	7	18
6	и не	5	17
7	у него	5	15
8	и даже	6	15
9	м м	2	15
10	он был	3	14
11	том что	3	14
12	что в	7	14
13	в этом	8	14
14	и с	6	14
15	там же	2	13
16	что он	4	12
17	в его	3	12
18	но в	6	12
19	с его	3	11
20	в том	3	11
21	о том	4	11
22	и то	2	10
23	он не	3	10
24	письме к	4	10
25	никогда не	2	9
26	а в	2	9
27	в конце	3	9
28	в письме	5	8
29	в те	3	8
30	в то	5	8
31	уже в	4	7
32	для него	2	7
33	об этом	5	7
34	о нем	6	7
35	в эти	2	7
36	как раз	2	7
37	и его	3	7
38	к этому	3	6
39	может быть	4	6
40	в котором	6	6
41	не может	2	6
42	то же	5	6
43	и что	8	6
44	года он	3	6
45	а с	2	5
46	в россию	4	5
47	все это	4	5
48	на то	3	5
49	в период	2	5
50	но как	2	5
51	а также	2	5
52	не было	5	5
53	в своих	4	5
54	но он	3	5
55	с ним	4	5
56	после смерти	2	4
57	я не	3	4
58	же время	5	4
59	в своем	3	4
60	что у	3	4
61	относился к	3	4
62	и все	7	4
63	в нем	6	4
64	для нас	4	4
65	в себе	2	4
66	как и	6	4
67	и как	3	4
68	в этой	2	4
69	в своей	2	4
70	в истории	4	4
71	в этот	3	4
72	и у	3	4
73	он писал	2	4
74	несмотря на	4	4
75	в россии	5	4
76	отнюдь не	2	3
77	в петербург	3	3
78	но это	2	3
79	время он	2	3
80	года в	7	3
81	все же	6	3
82	отношение к	2	3
83	вместе с	2	3
84	он пишет	2	3
85	что к	2	3
86	и стал	2	3
87	в связи	3	3
88	таким образом	2	3
89	эти годы	2	3
90	о которой	2	3
91	в в	2	3
92	не мог	2	3
93	уже не	2	3
94	и он	2	3
95	марта года	3	3
96	в начале	6	3
97	во время	2	3
98	те годы	2	3
99	в момент	2	2
100	место в	2	2
101	во многом	4	2
102	тем что	3	2
103	он сам	2	2
104	время и	2	2
105	не менее	2	2
106	в них	2	2
107	а н	2	2
108	на первый	2	2
109	мы знаем	2	2
110	этот момент	2	2
111	тем более	2	2
112	что я	2	2
113	году и	2	2
114	еще не	2	2
115	при этом	4	2
116	в это	2	2
117	и о	3	2
118	одним из	3	2
119	на это	2	2
120	с которым	2	2
121	и а	2	2
122	из них	2	2
123	который был	3	2
124	в ноябре	2	2
125	начиная с	2	2
126	году в	2	2
127	ноября года	2	2
128	за границей	2	2
129	точки зрения	2	2
130	к себе	2	2
131	чтобы он	3	2
132	его на	2	2
133	и это	2	2
134	ответ на	2	2
135	в париже	3	2
136	в чем	3	2
