N	3gram	Losev_Vlad_3	StatiiOP
1	в том что	10	11
2	не может быть	6	5
3	с другой стороны	2	4
4	в то время	4	4
5	в этом отношении	2	4
6	во всяком случае	3	4
7	с точки зрения	6	4
8	в этом смысле	3	4
9	то время как	2	4
10	о том что	8	4
11	в конце концов	5	3
12	то же время	2	3
13	в связи с	2	3
14	на то что	2	3
15	в то же	3	3
16	что это есть	2	2
17	независимо от того	2	2
18	к тому что	2	2
19	нельзя сказать что	2	2
20	и в этом	5	2
21	только в виде	2	2
22	себе отчет в	2	2
23	с одной стороны	3	2
24	а с другой	2	2
25	тем не менее	9	2
