N	2gram	Vinokur_Ku_2	Komedia
1	и в	23	22
2	и не	16	21
3	т е	22	16
4	том что	11	13
5	в том	19	12
6	таким образом	5	12
7	со стороны	4	11
8	так как	15	11
9	ни в	4	10
10	потому что	25	10
11	в самом	12	9
12	вместе с	5	9
13	если бы	12	8
14	в своем	2	8
15	что он	5	8
16	в его	5	8
17	что и	3	8
18	в глазах	2	8
19	в этом	18	8
20	об этом	5	7
21	при этом	2	7
22	в свою	2	7
23	то же	6	7
24	а в	3	7
25	в конце	4	7
26	к этому	4	6
27	ясно что	5	6
28	свою очередь	2	6
29	того же	3	6
30	еще не	5	6
31	для того	9	6
32	к тому	4	6
33	может быть	15	6
34	как раз	3	6
35	самом деле	9	6
36	и что	8	6
37	того чтобы	11	6
38	и его	3	6
39	в то	4	6
40	не менее	7	5
41	связи с	3	5
42	что в	10	5
43	же время	3	5
44	прежде всего	8	5
45	как это	5	5
46	хотя и	4	5
47	не только	20	5
48	речь идет	2	5
49	в своей	2	5
50	не хочет	2	5
51	все это	5	5
52	он не	3	5
53	тем что	3	5
54	к нему	2	5
55	в которых	2	5
56	но в	11	5
57	с тем	2	4
58	но все	4	4
59	у него	3	4
60	отнюдь не	4	4
61	с другой	8	4
62	вовсе не	9	4
63	и здесь	5	4
64	все же	7	4
65	не в	8	4
66	до конца	3	4
67	несмотря на	5	4
68	в ней	3	4
69	и т	39	4
70	то что	9	4
71	но и	7	4
72	что она	3	4
73	т п	24	4
74	в отношении	2	4
75	с помощью	7	4
76	а не	10	4
77	и для	2	4
78	так же	4	4
79	точки зрения	14	4
80	в связи	4	4
81	так и	4	4
82	хотя бы	9	4
83	и с	7	4
84	в частности	2	3
85	никогда не	2	3
86	в них	4	3
87	следует что	3	3
88	с этой	2	3
89	с этим	3	3
90	одного из	2	3
91	в нем	4	3
92	на то	4	3
93	нисколько не	3	3
94	тем не	6	3
95	и еще	2	3
96	как и	2	3
97	в этой	6	3
98	чем в	3	3
99	было бы	15	3
100	конечно не	2	3
101	на этот	2	3
102	как бы	4	3
103	один из	5	3
104	тех пор	2	3
105	приводит к	5	3
106	не может	9	3
107	с одной	2	3
108	все равно	2	3
109	что не	6	3
110	с точки	8	3
111	тем же	2	3
112	и даже	2	3
113	не имеет	4	3
114	во всяком	5	3
115	говорить о	4	3
116	не знает	3	3
117	на это	3	3
118	ничего не	4	3
119	всяком случае	5	3
120	только для	2	2
121	уже в	3	2
122	состоит в	2	2
123	конечном счете	2	2
124	в качестве	8	2
125	не как	2	2
126	как в	3	2
127	это не	6	2
128	для обозначения	2	2
129	и все	2	2
130	это в	2	2
131	не могут	5	2
132	если мы	4	2
133	мы знаем	4	2
134	этом случае	2	2
135	отличие от	2	2
136	по существу	5	2
137	в силу	7	2
138	что они	2	2
139	аналогии с	3	2
140	она не	2	2
141	а на	2	2
142	в пределах	4	2
143	тот же	5	2
144	только как	2	2
145	и если	2	2
146	совершенно не	3	2
147	в сущности	9	2
148	и о	4	2
149	от того	4	2
150	в конечном	2	2
151	в свое	2	2
152	конце концов	3	2
153	а также	3	2
154	так или	2	2
155	был бы	2	2
156	должен быть	5	2
157	по сравнению	2	2
158	еще одно	3	2
159	дело не	2	2
160	в их	2	2
161	как мы	3	2
162	другой стороны	7	2
163	целый ряд	5	2
164	отношения к	2	2
165	не было	4	2
166	то обстоятельство	7	2
167	этом отношении	3	2
168	является ли	2	2
169	из которых	3	2
170	что для	2	2
171	роль в	2	2
172	можно было	9	2
173	или иначе	3	2
174	меньше чем	2	2
175	в своих	2	2
176	и на	6	2
177	ли не	2	2
178	в результате	4	2
179	между тем	6	2
180	нуждается в	2	2
181	что касается	2	2
182	он и	2	2
183	обстоятельство что	7	2
184	в другом	2	2
185	что мы	6	2
186	и это	3	2
187	что эта	2	2
188	здесь не	3	2
189	всего лишь	3	2
190	к этой	3	2
191	в области	11	2
192	в виду	3	2
