N	2gram	Medvedev_F_1	StatiiOP
1	и в	24	29
2	в том	6	27
3	в этом	15	21
4	но и	7	19
5	что в	4	19
6	не только	7	19
7	что он	3	13
8	в его	23	13
9	то что	8	11
10	все это	9	11
11	в которой	4	11
12	к тому	3	10
13	таким образом	13	10
14	т е	34	10
15	в своем	11	9
16	и т	12	9
17	так и	18	9
18	и не	20	9
19	как на	4	9
20	он не	3	9
21	и пр	17	8
22	как раз	2	8
23	но в	5	8
24	но все	2	7
25	с тем	2	7
26	так например	3	7
27	в самом	5	7
28	в ней	10	7
29	в своей	11	7
30	вместе с	2	7
31	в одном	2	6
32	вовсе не	10	6
33	вопрос о	2	6
34	до сих	6	6
35	все же	3	6
36	т д	8	6
37	и что	2	6
38	и его	10	6
39	и на	8	6
40	прежде всего	22	5
41	была бы	2	5
42	было бы	6	5
43	как бы	6	5
44	сих пор	6	5
45	а не	10	5
46	того что	5	5
47	между тем	2	5
48	точки зрения	16	5
49	а как	2	4
50	именно в	8	4
51	в частности	4	4
52	с другой	5	4
53	не в	8	4
54	для него	3	4
55	и к	4	4
56	в нем	14	4
57	не приходится	2	4
58	ничего не	2	4
59	связи с	3	4
60	и с	8	4
61	в общем	3	3
62	не менее	11	3
63	же как	2	3
64	оно не	4	3
65	с этим	2	3
66	по себе	5	3
67	идет о	2	3
68	ни в	2	3
69	у нас	5	3
70	но это	3	3
71	но не	3	3
72	до конца	7	3
73	одной из	2	3
74	наконец в	3	3
75	никогда не	4	3
76	и даже	3	3
77	всяком случае	4	3
78	не могло	5	3
79	самом деле	6	3
80	как в	8	3
81	в их	11	3
82	т п	4	3
83	не было	3	3
84	на самом	7	3
85	в году	2	3
86	ни одного	2	3
87	хотя бы	5	3
88	так же	4	3
89	его не	2	3
90	во всяком	4	3
91	и здесь	6	3
92	отношении к	2	3
93	в россии	3	3
94	на нее	2	3
95	в эту	2	3
96	в отношении	3	2
97	в содержании	7	2
98	с его	4	2
99	ни было	2	2
100	и более	2	2
101	только не	2	2
102	если бы	4	2
103	борьба с	3	2
104	и др	5	2
105	ближайшим образом	4	2
106	в них	3	2
107	с этой	4	2
108	что было	2	2
109	бы ни	5	2
110	что и	2	2
111	его как	3	2
112	в ее	8	2
113	нас не	2	2
114	по существу	2	2
115	как и	11	2
116	то ни	3	2
117	и как	3	2
118	в этой	6	2
119	в истории	4	2
120	в то	9	2
121	не дает	2	2
122	на его	2	2
123	может быть	14	2
124	не по	3	2
125	и потому	9	2
126	искусства и	5	2
127	еще в	2	2
128	на почве	13	2
129	нет и	2	2
130	сами по	2	2
131	только в	2	2
132	бы то	3	2
133	в процессе	9	2
134	со стороны	5	2
135	или менее	6	2
136	не на	2	2
137	и самый	2	2
138	не может	16	2
139	в особенности	3	2
140	то же	10	2
141	все эти	6	2
142	при этом	5	2
143	из этой	2	2
144	они не	3	2
145	более или	6	2
146	что такое	2	2
147	с точки	13	2
148	особенно в	3	2
149	и те	2	2
150	ко времени	2	2
151	в результате	2	2
152	в себе	3	2
153	его в	3	2
154	и это	2	2
155	как это	6	2
156	в области	3	2
157	о мире	2	2
