N	2gram	Potebnia_M_4	Freidism
1	таким образом	24	24
2	и не	18	23
3	не может	11	20
4	точки зрения	4	19
5	в этом	23	15
6	в его	5	15
7	мы можем	10	13
8	может быть	26	13
9	и его	2	12
10	как и	14	11
11	как бы	5	11
12	то что	29	11
13	все эти	3	11
14	с точки	3	11
15	и потому	10	10
16	так и	6	10
17	как мы	2	10
18	самом деле	3	10
19	его в	4	10
20	с ним	5	10
21	но в	8	10
22	в сознание	2	9
23	и в	23	9
24	по отношению	10	9
25	все что	2	8
26	что он	4	8
27	отношению к	8	8
28	еще не	3	8
29	он не	2	8
30	не только	10	8
31	все это	5	8
32	то же	14	8
33	только в	15	8
34	и все	4	8
35	так как	14	8
36	тот же	2	7
37	к нему	5	7
38	во всяком	5	7
39	один из	2	7
40	отношение к	2	7
41	в самом	3	7
42	что же	5	7
43	те же	3	7
44	сказать что	8	7
45	мы уже	3	7
46	всяком случае	3	7
47	никогда не	3	6
48	вовсе не	7	6
49	для него	5	6
50	того что	14	6
51	в ней	2	6
52	так сказать	5	6
53	хотя бы	4	6
54	и с	4	6
55	и к	6	5
56	но мы	2	5
57	в свою	2	5
58	можно сказать	4	5
59	не в	11	5
60	в то	4	5
61	в большинстве	2	5
62	что такое	7	5
63	что в	17	5
64	но и	11	5
65	и прежде	2	5
66	на самом	3	5
67	для того	6	5
68	а в	5	5
69	и на	3	5
70	могут быть	7	5
71	с этим	7	5
72	в каком	4	5
73	мы должны	2	5
74	большинстве случаев	2	5
75	не менее	5	4
76	я не	2	4
77	в котором	4	4
78	и др	2	4
79	в этих	3	4
80	из этих	2	4
81	если мы	2	4
82	с другими	4	4
83	к тому	3	4
84	об этом	2	4
85	же время	3	4
86	при этом	15	4
87	другими словами	8	4
88	конечно не	2	4
89	и о	4	4
90	от того	4	4
91	в нем	7	4
92	данном случае	2	4
93	на основании	4	4
94	не было	12	4
95	между ними	4	4
96	уже не	3	4
97	того чтобы	4	4
98	и для	2	4
99	в которой	6	4
100	той же	3	4
101	мы не	8	4
102	в таком	4	4
103	с ними	3	4
104	в данном	4	4
105	этот вопрос	3	4
106	потому что	33	4
107	в более	2	4
108	во время	2	4
109	говорить о	5	4
110	в голову	2	3
111	не могут	2	3
112	самого начала	2	3
113	если бы	13	3
114	и есть	3	3
115	тому что	2	3
116	в них	3	3
117	жизни к	2	3
118	что все	4	3
119	в себе	14	3
120	и как	2	3
121	представления и	3	3
122	но это	3	3
123	по своему	2	3
124	по поводу	4	3
125	она не	2	3
126	и может	4	3
127	было бы	8	3
128	и тот	3	3
129	один и	5	3
130	что может	2	3
131	вместе с	6	3
132	со стороны	3	3
133	как в	7	3
134	мысли и	7	3
135	и что	7	3
136	на этот	2	3
137	можем сказать	2	3
138	и по	3	3
139	мы имеем	4	3
140	в искусстве	3	3
141	такие же	5	3
142	слова и	5	3
143	таком случае	2	3
144	человека и	3	3
145	в сознании	4	3
146	из тех	2	2
147	есть и	2	2
148	уже в	5	2
149	человека в	2	2
150	только не	3	2
151	что это	7	2
152	быть и	2	2
153	в нашем	2	2
154	что между	3	2
155	с другой	2	2
156	это не	7	2
157	оно не	2	2
158	же что	2	2
159	для понимания	2	2
160	человек не	2	2
161	не можем	5	2
162	же самое	4	2
163	только о	2	2
164	тем не	4	2
165	для нас	14	2
166	в ее	2	2
167	да и	4	2
168	влияние на	2	2
169	том что	12	2
170	не существует	2	2
171	а не	12	2
172	во сне	2	2
173	душевной жизни	3	2
174	образы и	3	2
175	к другим	2	2
176	что мы	10	2
177	похоже на	2	2
178	в процессе	3	2
179	в своем	8	2
180	и до	3	2
181	что значит	2	2
182	только для	2	2
183	и мысли	2	2
184	дело не	2	2
185	сих пор	4	2
186	что она	2	2
187	только на	4	2
188	в нас	3	2
189	и таким	3	2
190	что как	4	2
191	и они	2	2
192	заметить что	6	2
193	должны быть	3	2
194	и у	2	2
195	в науке	3	2
196	и даже	2	2
197	и притом	2	2
198	так же	4	2
199	мы видим	2	2
200	в таких	2	2
201	когда человек	4	2
202	и то	5	2
203	их в	3	2
204	в своих	2	2
205	что и	7	2
206	в первый	2	2
207	и при	2	2
208	к его	2	2
209	теми же	2	2
210	и вообще	2	2
211	при помощи	3	2
212	в первом	3	2
213	до сих	4	2
214	когда мы	6	2
215	представлений и	2	2
216	этом мы	2	2
217	же с	2	2
218	в области	2	2
219	в виду	3	2
220	возможно только	3	2
221	это было	2	2
