N	2gram	Vygotskiy__3	OGranits
1	и в	25	13
2	и его	2	12
3	прежде всего	4	9
4	не может	6	8
5	и не	10	8
6	может быть	13	8
7	и их	3	7
8	точки зрения	6	7
9	в его	15	7
10	таким образом	17	6
11	не только	6	6
12	то что	15	6
13	только в	10	6
14	мы должны	6	6
15	как бы	10	6
16	все же	6	5
17	и эта	2	5
18	и т.д	5	5
19	в процессе	27	5
20	то же	2	4
21	не является	8	4
22	в своей	2	4
23	все это	6	4
24	мы не	9	4
25	мы можем	7	4
26	слов и	5	4
27	было бы	10	4
28	отношению к	2	3
29	что в	17	3
30	никогда не	4	3
31	но и	4	3
32	так и	5	3
33	по отношению	3	3
34	не как	3	3
35	и все	4	3
36	в одном	2	3
37	здесь мы	2	3
38	со всей	2	3
39	к одному	5	3
40	как и	15	3
41	не в	6	3
42	и то	2	3
43	не столько	4	3
44	ни один	4	3
45	в себе	2	3
46	ничего общего	3	3
47	с этим	4	3
48	и для	2	3
49	так как	12	3
50	еще в	2	2
51	не менее	6	2
52	уже в	7	2
53	с этой	3	2
54	а как	2	2
55	самого начала	6	2
56	в нем	2	2
57	пути к	3	2
58	в целом	13	2
59	который мы	2	2
60	в отношении	6	2
61	другой стороны	3	2
62	с другой	6	2
63	от всех	2	2
64	в них	2	2
65	в связи	6	2
66	входит в	5	2
67	а в	4	2
68	речи не	2	2
69	с одной	5	2
70	в течение	2	2
71	все эти	7	2
72	этой проблемы	2	2
73	или иного	2	2
74	конечно в	2	2
75	в тех	2	2
76	с самого	6	2
77	к тому	4	2
78	и к	5	2
79	как в	9	2
80	если бы	5	2
81	в чем	2	2
82	в том	23	2
83	так же	17	2
84	не мог	4	2
85	том что	20	2
86	в зависимости	5	2
87	мы видим	3	2
88	с ними	3	2
89	с помощью	42	2
90	в своих	2	2
91	зависимости от	6	2
92	что они	10	2
93	в этом	14	2
94	от этого	6	2
95	тем что	8	2
96	между тем	3	2
97	могут быть	5	2
98	при этом	5	2
99	смысле слова	2	2
100	связанные с	2	2
101	для него	5	2
102	во всем	3	2
103	тот же	2	2
104	одной стороны	5	2
105	и может	2	2
106	того или	2	2
107	мы уже	5	2
108	слова и	6	2
109	в области	7	2
110	в самом	3	2
111	мог бы	4	2
112	вслед за	3	2
113	имеет место	3	2
114	там где	4	2
115	бы в	2	2
116	а также	2	2
