N	3gram	Vinokur_Ku_1	Myshleni
1	с точки зрения	9	21
2	для того чтобы	15	18
3	в этом случае	2	14
4	в том что	15	13
5	к тому что	2	6
6	по отношению к	8	5
7	в самом деле	7	4
8	о том что	5	4
9	на то что	2	4
10	этой точки зрения	2	4
11	не может быть	3	4
12	вместе с тем	3	4
13	заключается в том	2	4
14	только потому что	6	3
15	тем не менее	4	3
16	в том и	2	3
17	в этом отношении	5	3
18	состоит в том	3	3
19	до сих пор	4	3
20	в свою очередь	3	2
21	том что он	4	2
22	мере в какой	5	2
23	нужно было бы	2	2
24	в той мере	5	2
25	той мере в	5	2
26	на самом деле	2	2
