N	2gram	Ircho_Kome_2	TeoriaLi
1	в мире	2	24
2	не только	7	18
3	в качестве	5	17
4	и не	14	16
5	а в	3	14
6	в частности	4	13
7	и в	26	13
8	может быть	11	12
9	так и	12	12
10	в этом	10	11
11	в том	11	11
12	но не	3	10
13	и его	12	10
14	в его	4	9
15	то же	3	9
16	что в	9	8
17	отношению к	3	8
18	но и	10	8
19	по отношению	3	8
20	себя в	3	7
21	том что	9	7
22	в отличие	2	7
23	точки зрения	4	7
24	в то	6	7
25	только в	4	7
26	как это	4	7
27	отличие от	2	7
28	место в	4	6
29	с его	5	6
30	же время	3	6
31	еще не	6	6
32	как бы	2	6
33	но в	3	6
34	однако в	2	5
35	в своем	6	5
36	в ее	2	5
37	как и	4	5
38	не в	2	5
39	в самом	4	5
40	в нем	6	5
41	как в	3	5
42	он не	2	5
43	в принципе	2	5
44	с другой	2	5
45	между тем	4	5
46	мы имеем	2	5
47	не менее	4	4
48	ни в	5	4
49	в своей	3	4
50	то что	6	4
51	отношение к	2	4
52	в их	3	4
53	не может	3	4
54	хотя и	4	4
55	и ее	2	4
56	говорить о	2	4
57	как правило	3	4
58	в нашем	2	3
59	в этих	4	3
60	со своей	3	3
61	этом смысле	2	3
62	прежде всего	4	3
63	и к	2	3
64	по своему	2	3
65	и сам	3	3
66	например в	3	3
67	так в	2	3
68	таким образом	6	3
69	мира в	4	3
70	и что	2	3
71	или в	3	3
72	потому что	6	3
73	нового времени	2	3
74	в этой	3	3
75	его в	4	3
76	о чем	3	2
77	если бы	9	2
78	восходит к	4	2
79	в конце	2	2
80	того же	3	2
81	это не	2	2
82	вовсе не	2	2
83	что он	5	2
84	к тому	12	2
85	об этом	2	2
86	перед лицом	2	2
87	одной стороны	2	2
88	а на	2	2
89	одной из	4	2
90	из которых	3	2
91	вслед за	2	2
92	к его	2	2
93	в виду	2	2
94	чем это	2	2
95	так или	3	2
96	даже в	2	2
97	времени в	2	2
98	и особенно	3	2
99	к нему	3	2
100	в целом	4	2
101	во всех	3	2
102	вместе с	9	2
103	со стороны	2	2
104	и для	4	2
105	с одной	2	2
106	в той	2	2
107	самом начале	2	2
108	роль в	2	2
109	или иначе	3	2
110	у него	4	2
111	следует признать	2	2
112	на себя	7	2
113	и здесь	6	2
114	могла бы	3	2
115	как будто	4	2
116	не следует	2	2
117	о том	6	2
118	и это	2	2
119	в которой	5	2
120	в состав	2	2
121	это было	4	2
122	имеет в	2	2
