N	2gram	Bakhtin_Pr_3	Tragedij
1	и в	53	18
2	в этом	8	9
3	в бесах	2	9
4	не только	4	8
5	он сам	4	7
6	и не	15	7
7	и на	18	7
8	и с	6	7
9	может быть	12	7
10	как бы	14	7
11	в образе	3	6
12	что он	4	6
13	и его	10	6
14	же время	5	6
15	но в	5	6
16	что это	2	5
17	так и	6	5
18	это не	6	5
19	не может	2	5
20	то же	6	5
21	а я	2	5
22	в дальнейшем	7	5
23	как и	11	5
24	у достоевского	17	5
25	в то	5	5
26	несмотря на	2	5
27	это очень	4	5
28	но и	7	4
29	то что	9	4
30	что в	2	4
31	все это	8	4
32	я не	4	4
33	прежде всего	15	4
34	и все	10	4
35	в нем	10	4
36	и даже	2	4
37	том что	5	4
38	но это	3	4
39	что я	2	4
40	в себе	5	4
41	еще не	5	4
42	уже в	2	3
43	один из	6	3
44	достоевского в	3	3
45	в конце	3	3
46	как в	7	3
47	все эти	9	3
48	в его	8	3
49	при этом	3	3
50	своего рода	3	3
51	как будто	2	3
52	в мире	5	3
53	как это	2	3
54	с ним	2	3
55	то есть	48	3
56	это был	2	2
57	из самых	2	2
58	перед нами	5	2
59	и до	5	2
60	но они	4	2
61	что и	3	2
62	и наказании	2	2
63	в известной	2	2
64	если б	7	2
65	для достоевского	3	2
66	с его	2	2
67	отношение к	6	2
68	в преступлении	2	2
69	в ее	3	2
70	в том	14	2
71	говорит о	2	2
72	в таком	2	2
73	не в	2	2
74	в рассказе	2	2
75	одна из	7	2
76	потому что	5	2
77	тем что	2	2
78	и ее	6	2
79	еще раз	5	2
80	как у	5	2
81	ивана карамазова	4	2
82	о том	2	2
83	преступлении и	2	2
84	его в	2	2
85	и это	3	2
86	в самом	2	2
87	во сне	5	2
88	ничего не	6	2
89	он не	3	2
90	никогда не	2	2
