N	2gram	Berdyaev_V_1	VrazhdaK
1	не только	2	9
2	в этом	4	8
3	и что	3	8
4	и в	16	8
5	но и	5	7
6	что в	3	7
7	то что	9	7
8	и все	4	7
9	в котором	4	6
10	в нем	4	6
11	как и	4	6
12	но в	3	6
13	не было	3	5
14	и не	20	5
15	между тем	2	5
16	для нас	2	4
17	как бы	5	4
18	все это	5	4
19	это не	2	4
20	что он	4	4
21	с ним	2	4
22	в истории	8	4
23	в ней	4	4
24	с его	3	3
25	давно уже	2	3
26	и во	2	3
27	что есть	5	3
28	в конце	3	3
29	в том	3	3
30	том что	2	3
31	тем что	2	3
32	в его	4	3
33	в чем	3	3
34	а с	2	2
35	в своей	3	2
36	и это	2	2
37	никогда не	3	2
38	его и	2	2
39	в них	3	2
40	а в	2	2
41	но это	3	2
42	уже не	2	2
43	что я	3	2
44	и то	2	2
45	их в	3	2
46	для него	2	2
47	еще не	8	2
48	в мире	5	2
49	одна из	2	2
