N	2gram	Trubetskoy_1	VerxiiNi
1	и в	14	26
2	таким образом	11	22
3	с тем	6	18
4	русской культуры	2	15
5	вместе с	4	15
6	в этом	17	15
7	точки зрения	11	13
8	как бы	4	12
9	в том	17	11
10	может быть	9	10
11	не только	9	10
12	и с	7	10
13	из этих	3	10
14	связи с	3	9
15	что в	4	9
16	но и	10	9
17	в области	2	9
18	так как	4	9
19	главным образом	3	8
20	но не	4	8
21	и не	19	8
22	как на	8	8
23	том что	9	7
24	из них	3	7
25	к нему	2	7
26	то что	13	7
27	а с	2	7
28	потому что	5	7
29	но в	2	7
30	в конце	3	6
31	к тому	7	6
32	и потому	3	6
33	несмотря на	3	6
34	всяком случае	6	6
35	что и	3	6
36	все же	4	6
37	все это	6	6
38	все эти	2	6
39	с точки	9	6
40	во всяком	9	6
41	в себе	9	6
42	мы должны	7	6
43	и т.д	4	6
44	о том	7	6
45	и к	6	5
46	тем чтобы	3	5
47	до сих	5	5
48	одной из	3	5
49	друг с	14	5
50	в его	4	5
51	никогда не	5	5
52	с другом	14	5
53	сих пор	5	5
54	или менее	4	5
55	так же	2	5
56	лишь в	3	5
57	а не	2	5
58	того чтобы	8	5
59	для того	6	5
60	в силу	2	5
61	и для	6	5
62	в мире	4	5
63	более или	4	5
64	в этих	2	4
65	и от	2	4
66	что все	3	4
67	и вместе	2	4
68	что он	6	4
69	в нем	5	4
70	из которых	5	4
71	в самом	3	4
72	в котором	2	4
73	целый ряд	2	4
74	не может	22	4
75	и только	5	4
76	а в	5	4
77	то же	11	4
78	что оно	3	4
79	в течение	2	4
80	и что	2	4
81	и тогда	2	4
82	и по	3	4
83	во время	2	4
84	в виде	3	4
85	он не	5	4
86	в то	10	4
87	только в	5	4
88	в этой	4	4
89	что это	3	3
90	если бы	6	3
91	хотя бы	5	3
92	точно так	2	3
93	европейской культуры	2	3
94	ясно что	2	3
95	для него	6	3
96	так что	2	3
97	и как	3	3
98	из всех	2	3
99	и при	6	3
100	в своем	6	3
101	в качестве	3	3
102	и если	7	3
103	и о	2	3
104	если в	6	3
105	к богу	7	3
106	при этом	5	3
107	культуры и	2	3
108	уже не	2	3
109	путь к	4	3
110	в значительной	3	3
111	того что	3	3
112	и даже	2	3
113	и те	2	3
114	в таком	2	3
115	в результате	2	3
116	конце концов	3	3
117	в других	2	3
118	признать что	6	2
119	не могут	4	2
120	пути к	2	2
121	именно в	3	2
122	состоит в	2	2
123	только для	2	2
124	тогда когда	4	2
125	русской интеллигенции	8	2
126	прежде всего	8	2
127	на то	5	2
128	или иной	5	2
129	по существу	5	2
130	то ни	4	2
131	в начале	2	2
132	все что	4	2
133	же время	10	2
134	ли это	4	2
135	еще не	3	2
136	конечно не	5	2
137	значительной мере	2	2
138	для всех	6	2
139	той или	3	2
140	но если	3	2
141	и является	2	2
142	бы то	4	2
143	благодаря этому	2	2
144	не к	2	2
145	жизни и	4	2
146	во всех	5	2
147	быть и	2	2
148	приводит к	4	2
149	отличается от	2	2
150	для этого	3	2
151	не было	3	2
152	если не	2	2
153	значительной части	2	2
154	и сейчас	3	2
155	в другое	4	2
156	смотреть на	4	2
157	в глазах	2	2
158	и на	5	2
159	людей и	2	2
160	больше чем	2	2
161	не в	4	2
162	мы можем	2	2
163	и наконец	2	2
164	о котором	3	2
165	так чтобы	3	2
166	в россии	6	2
167	из этого	3	2
168	к культуре	2	2
169	между тем	5	2
