N	2gram	Potebnia_M_1	UchenyiS
1	и в	39	14
2	а не	21	10
3	не только	21	10
4	и не	18	8
5	прежде всего	4	8
6	то что	10	7
7	в этом	15	7
8	не может	22	7
9	может быть	27	6
10	хотя бы	2	5
11	и только	2	5
12	то же	6	5
13	но и	20	4
14	в этой	3	4
15	в их	2	4
16	с другой	7	4
17	но в	9	3
18	как и	9	3
19	и то	3	3
20	все же	6	3
21	не следует	5	3
22	в своей	3	3
23	бы то	2	3
24	очевидно что	3	3
25	для этого	2	3
26	то ни	3	3
27	же время	4	3
28	другой стороны	5	3
29	для него	4	3
30	это не	7	3
31	в то	4	3
32	было бы	12	3
33	ни было	2	3
34	у нас	2	3
35	том что	16	2
36	но не	8	2
37	в том	26	2
38	не все	2	2
39	мы не	10	2
40	не есть	10	2
41	крайней мере	2	2
42	не в	15	2
43	и для	5	2
44	но это	5	2
45	должна быть	3	2
46	этом смысле	4	2
47	если бы	14	2
48	только в	25	2
49	и с	3	2
50	тем что	9	2
51	при таком	4	2
52	могут быть	9	2
53	их и	2	2
54	даже и	2	2
55	все они	2	2
56	вопроса о	2	2
57	в себе	13	2
58	в противном	3	2
59	что мы	4	2
60	могли бы	2	2
61	что все	3	2
62	если не	2	2
63	в самом	3	2
64	не могут	4	2
65	по себе	10	2
66	а его	3	2
67	одним из	2	2
68	для всех	5	2
69	а как	2	2
70	по крайней	2	2
71	а между	3	2
72	что и	6	2
73	в его	5	2
74	противном случае	3	2
75	между тем	5	2
76	таким образом	13	2
