N	2gram	Medvedev_V_1	Narrotol
1	не только	25	31
2	но и	10	27
3	и не	19	23
4	может быть	22	15
5	в частности	11	14
6	в качестве	11	14
7	как и	7	13
8	а не	7	13
9	а в	3	13
10	только в	7	12
11	в этом	26	12
12	и в	26	11
13	и его	6	10
14	то что	6	9
15	то же	10	8
16	в том	15	8
17	не может	17	8
18	если бы	3	7
19	у него	6	7
20	том что	8	7
21	но в	2	7
22	к тому	4	6
23	об этом	9	6
24	не в	6	6
25	и он	2	6
26	в самом	4	6
27	как бы	5	6
28	один из	5	6
29	жизни и	3	6
30	как раз	3	6
31	или в	3	6
32	в себе	6	6
33	в его	14	6
34	в этой	4	6
35	действующих лиц	5	5
36	перед нами	4	5
37	можно сказать	4	5
38	в своей	4	5
39	так и	5	5
40	точки зрения	3	5
41	с его	3	4
42	о чем	2	4
43	никогда не	4	4
44	из этих	7	4
45	или иной	2	4
46	все же	5	4
47	для него	8	4
48	но не	2	4
49	же время	5	4
50	прежде всего	13	4
51	еще не	2	4
52	вплоть до	2	4
53	в ней	2	4
54	в нем	6	4
55	этом и	2	4
56	из них	9	4
57	не по	2	4
58	по себе	2	4
59	того что	3	4
60	того чтобы	3	4
61	хотя и	2	4
62	в то	6	4
63	что у	2	4
64	о том	10	4
65	одна из	4	4
66	в одном	4	4
67	в сознании	4	4
68	не менее	2	3
69	тому как	2	3
70	он сам	2	3
71	что в	10	3
72	в своем	8	3
73	это не	7	3
74	в жизни	2	3
75	что он	4	3
76	сводится к	3	3
77	у нас	2	3
78	и как	3	3
79	различного рода	3	3
80	в целом	4	3
81	но как	3	3
82	как известно	2	3
83	для того	3	3
84	при всей	2	3
85	но для	2	3
86	он не	2	3
87	в конечном	7	3
88	не является	5	3
89	отношению к	7	3
90	по отношению	7	3
91	начиная с	2	3
92	не было	7	3
93	этом отношении	13	3
94	именно в	2	3
95	лишь в	2	3
96	в слове	3	3
97	также и	2	3
98	их в	6	3
99	подобно тому	2	3
100	и ее	4	3
101	всего лишь	3	3
102	как это	12	3
103	могло бы	2	3
104	мы имеем	3	3
105	между тем	5	3
106	а для	2	3
107	зависит от	2	2
108	а о	2	2
109	отнюдь не	3	2
110	в зависимости	6	2
111	большей или	3	2
112	не подлежит	2	2
113	в конце	3	2
114	о его	2	2
115	к его	2	2
116	же в	6	2
117	в романе	4	2
118	не столь	3	2
119	зависимости от	5	2
120	между ними	3	2
121	всех его	2	2
122	в пределах	5	2
123	она не	3	2
124	как у	2	2
125	во сне	21	2
126	меньшей степени	2	2
127	у тургенева	3	2
128	не вполне	2	2
129	если в	2	2
130	лица и	2	2
131	хотя бы	19	2
132	вместе с	7	2
133	в сфере	2	2
134	в форме	3	2
135	ли не	2	2
136	другой стороны	8	2
137	только что	4	2
138	в связи	3	2
139	в особенности	2	2
140	и через	2	2
141	человека в	2	2
142	в году	6	2
143	что не	3	2
144	и даже	2	2
145	с другой	11	2
146	и для	2	2
147	роль в	4	2
148	с ними	4	2
149	в результате	5	2
150	сказать что	5	2
151	не о	2	2
152	и от	3	2
153	он и	2	2
154	связи с	4	2
155	что мы	2	2
156	же самое	2	2
157	так сказать	2	2
158	в чем	2	2
159	в области	2	2
