N	3gram	Vinokur_Ku_2	Myslijsy
1	в том что	10	7
2	само по себе	5	5
3	по крайней мере	6	5
4	в этом случае	2	5
5	не может быть	4	5
6	можно сказать что	2	4
7	тем не менее	5	4
8	в этом слове	2	4
9	и т п	24	4
10	для того чтобы	8	4
11	на то что	2	4
12	во всяком случае	5	3
13	с точки зрения	8	3
14	вместе с тем	2	3
15	в то же	3	3
16	и т д	14	3
17	в том случае	2	3
18	на самом деле	2	3
19	то же время	3	3
20	так или иначе	2	2
21	хотя бы и	2	2
22	только потому что	6	2
23	и в том	2	2
24	на этот вопрос	2	2
25	только в том	2	2
