N	2gram	Tiupa_Anal_3	Problemy
1	и не	12	31
2	и в	18	29
3	в его	7	24
4	может быть	9	24
5	а не	9	22
6	в этом	14	22
7	как бы	10	19
8	в нем	2	19
9	точки зрения	3	19
10	для него	6	18
11	не только	22	15
12	то что	2	15
13	не как	2	14
14	но и	13	14
15	и его	13	14
16	то же	3	14
17	в пределах	4	13
18	уже не	5	13
19	с точки	2	13
20	как и	14	12
21	о себе	2	12
22	не может	2	12
23	таким образом	4	12
24	в одном	4	10
25	в самом	5	10
26	в то	3	10
27	только в	2	10
28	героя и	4	10
29	там где	2	10
30	с его	8	9
31	это не	2	9
32	все же	4	9
33	в романе	2	9
34	но не	7	9
35	же время	3	9
36	все эти	2	9
37	в каждом	3	8
38	в своем	4	8
39	по себе	4	8
40	что он	4	8
41	что в	9	8
42	отношению к	7	8
43	по отношению	7	8
44	в том	9	8
45	прежде всего	5	7
46	том что	12	7
47	не в	6	7
48	так и	14	7
49	в форме	2	7
50	входит в	2	7
51	и как	4	7
52	а в	10	7
53	и на	4	7
54	в себе	2	7
55	мира и	2	7
56	но в	2	7
57	все это	3	6
58	в конце	5	6
59	в целом	3	6
60	несмотря на	2	6
61	что она	2	6
62	как в	3	6
63	как раз	7	6
64	самом деле	2	6
65	в мире	5	6
66	могут быть	2	6
67	его в	3	6
68	и потому	2	6
69	перед нами	4	5
70	именно в	3	5
71	было бы	3	5
72	еще не	6	5
73	это и	2	5
74	в сущности	5	5
75	он не	6	5
76	той же	5	5
77	с их	3	5
78	во всяком	2	5
79	между тем	5	5
80	он и	3	5
81	ничего не	3	5
82	в результате	5	4
83	были бы	3	4
84	личности в	3	4
85	бы и	2	4
86	что и	5	4
87	его как	3	4
88	и самого	6	4
89	даже в	2	4
90	и для	2	4
91	не было	3	4
92	тем что	2	4
93	в этой	6	4
94	в произведении	3	4
95	так сказать	2	4
96	уже в	3	3
97	никогда не	5	3
98	в них	2	3
99	с другой	7	3
100	одна из	2	3
101	о своем	2	3
102	лишь на	3	3
103	всяком случае	2	3
104	в их	6	3
105	другой стороны	5	3
106	этом отношении	3	3
107	например в	2	3
108	себе самому	2	3
109	в себя	2	3
110	приводит к	4	3
111	тому как	2	3
112	и здесь	2	3
113	сказать что	2	3
114	но с	2	3
115	подобно тому	3	3
116	как к	2	3
117	но как	3	3
118	далеко не	4	3
119	отношения к	2	3
120	в противоположность	2	2
121	тем или	2	2
122	представляется нам	2	2
123	однако в	5	2
124	поэтому в	2	2
125	но они	2	2
126	и от	2	2
127	те же	2	2
128	в жизни	2	2
129	и ее	2	2
130	и к	4	2
131	не есть	4	2
132	же в	2	2
133	при этом	11	2
134	на себя	2	2
135	и сам	4	2
136	с героем	2	2
137	один из	2	2
138	в большинстве	2	2
139	нам кажется	2	2
140	на его	2	2
141	в первой	8	2
142	данном случае	3	2
143	второго порядка	2	2
144	в контексте	2	2
145	и даже	8	2
146	на языке	3	2
147	в той	2	2
148	произведения и	2	2
149	в данном	4	2
150	в ней	2	2
151	на пути	2	2
152	могли бы	2	2
153	с этим	3	2
154	по преимуществу	2	2
