N	2gram	Bakhtin_Pr_1	EvropaiC
1	таким образом	11	32
2	в том	11	31
3	и в	23	24
4	том что	9	20
5	все эти	8	19
6	не может	11	18
7	то что	18	17
8	может быть	21	15
9	все же	5	15
10	точки зрения	21	13
11	в своем	8	12
12	до сих	2	12
13	сих пор	2	12
14	самом деле	5	12
15	в этом	25	12
16	все это	7	11
17	между тем	5	11
18	отношению к	11	10
19	как бы	28	10
20	по отношению	11	10
21	все что	3	10
22	во всех	5	10
23	так и	10	10
24	при этом	3	9
25	друг с	3	9
26	в результате	4	9
27	как и	8	9
28	с другом	3	9
29	что в	8	9
30	не в	6	8
31	в самом	8	8
32	так же	6	8
33	если бы	10	8
34	и все	3	8
35	с точки	15	8
36	но и	11	7
37	и не	34	7
38	из этих	2	7
39	о том	2	7
40	что он	10	7
41	по существу	4	7
42	на самом	4	7
43	того чтобы	4	7
44	для того	2	7
45	должна быть	2	6
46	с другой	2	6
47	в этой	4	6
48	несмотря на	6	6
49	отличается от	2	6
50	того что	2	6
51	как на	2	6
52	и на	10	6
53	так как	7	6
54	с ним	6	6
55	в сознании	2	6
56	еще не	5	6
57	что и	5	6
58	в мире	7	6
59	только в	8	6
60	вместе с	2	6
61	именно в	6	5
62	что все	3	5
63	у него	6	5
64	в целом	4	5
65	и их	2	5
66	другой стороны	2	5
67	и с	4	5
68	потому что	12	5
69	его в	4	5
70	но в	4	5
71	к этому	2	5
72	и к	4	5
73	в то	10	5
74	в его	24	5
75	не только	13	5
76	и для	3	5
77	но все	4	5
78	лишь в	3	5
79	в себе	5	5
80	как будто	3	5
81	в которой	4	5
82	на вопрос	2	4
83	не могут	6	4
84	никогда не	5	4
85	в конце	5	4
86	одним из	8	4
87	из них	2	4
88	в их	3	4
89	а потому	2	4
90	всех этих	3	4
91	ни один	2	4
92	социальной жизни	2	4
93	мы должны	2	4
94	мы уже	2	4
95	он не	4	4
96	конце концов	4	4
97	то же	10	4
98	из которых	2	4
99	и у	4	4
100	хотя бы	2	4
101	в области	3	4
102	в этих	2	3
103	вопрос о	4	3
104	для нас	3	3
105	как у	2	3
106	в нем	20	3
107	данном случае	2	3
108	от того	2	3
109	в совершенно	2	3
110	то ни	3	3
111	и других	5	3
112	заключается в	2	3
113	и наконец	5	3
114	и по	2	3
115	а в	7	3
116	это не	10	3
117	в истории	2	3
118	и потому	3	3
119	бы в	3	3
120	прежде всего	7	3
121	в жизни	6	3
122	таким же	2	3
123	чем в	2	3
124	тот же	2	3
125	даже в	2	3
126	в данном	2	3
127	и это	5	3
128	отличие от	2	3
129	себя и	2	2
130	тому что	2	2
131	точку зрения	4	2
132	именно потому	2	2
133	он все	2	2
134	как мы	5	2
135	все в	6	2
136	для него	15	2
137	же время	7	2
138	и сам	2	2
139	между отдельными	2	2
140	к нему	3	2
141	но для	2	2
142	всяком случае	3	2
143	в котором	2	2
144	и уже	3	2
145	с ее	2	2
146	бы то	3	2
147	что она	2	2
148	то и	2	2
149	что для	2	2
150	в самой	7	2
151	они не	3	2
152	ни было	4	2
153	в которых	2	2
154	только при	2	2
155	к той	2	2
156	но как	3	2
157	говорить о	2	2
158	не было	3	2
159	все то	4	2
160	в один	2	2
161	этих черт	2	2
162	во всяком	4	2
163	то есть	24	2
164	в основе	5	2
165	в них	3	2
166	же что	2	2
167	вовсе не	8	2
168	одна из	2	2
169	но не	8	2
170	только то	3	2
171	она не	5	2
172	было бы	6	2
173	жизни и	6	2
174	на себе	2	2
175	в сущности	5	2
176	тем как	4	2
177	как не	4	2
178	него в	2	2
179	в процессе	4	2
180	на него	2	2
181	из одного	4	2
182	в себя	3	2
183	между ними	2	2
184	для самого	2	2
185	этот вопрос	2	2
186	этого слова	2	2
187	если же	2	2
188	есть в	3	2
