N	2gram	Losev_Dial_2	SlovoVZh
1	не может	9	16
2	точки зрения	12	14
3	может быть	20	14
4	и его	5	13
5	как бы	14	13
6	таким образом	4	12
7	и в	19	12
8	и не	30	10
9	так как	14	9
10	прежде всего	8	8
11	сказать что	10	7
12	в нем	10	6
13	все время	3	6
14	при этом	4	6
15	в том	14	6
16	только в	5	6
17	в ней	2	6
18	в жизни	2	5
19	то что	14	5
20	должна быть	5	5
21	никогда не	9	5
22	поэтическое произведение	2	5
23	а не	16	5
24	можно сказать	5	5
25	то же	12	5
26	хотя бы	4	5
27	как и	10	5
28	том что	10	5
29	отнюдь не	6	5
30	как в	2	5
31	что мы	2	5
32	и следовательно	5	5
33	но в	2	5
34	в виду	5	5
35	и к	7	4
36	все же	4	4
37	жизни и	6	4
38	так и	10	4
39	от того	4	4
40	с другой	5	4
41	на самом	2	4
42	уже не	3	4
43	что не	6	4
44	зависимости от	2	4
45	не в	8	4
46	в этом	8	4
47	его в	3	4
48	в самом	5	4
49	к нему	4	4
50	за пределы	4	4
51	не только	19	4
52	и уже	3	3
53	и более	3	3
54	не менее	3	3
55	в своей	8	3
56	в некоторых	2	3
57	быть и	4	3
58	сих пор	2	3
59	все это	4	3
60	и по	4	3
61	и вообще	6	3
62	все эти	2	3
63	ясно что	4	3
64	по себе	18	3
65	это как	3	3
66	но и	12	3
67	и пр	5	3
68	того что	6	3
69	или не	2	3
70	тем не	2	3
71	ни в	10	3
72	да и	6	3
73	так же	2	3
74	самом деле	4	3
75	и с	5	3
76	о том	5	3
77	нуждается в	3	3
78	в каком	4	3
79	в себе	15	3
80	до сих	2	3
81	еще не	4	3
82	в поэзии	7	3
83	конечно не	6	3
84	с ним	4	3
85	между тем	2	3
86	как только	3	2
87	уже в	4	2
88	зависит от	2	2
89	но мы	2	2
90	что и	5	2
91	в душе	7	2
92	независимо от	4	2
93	но все	2	2
94	что в	7	2
95	на все	2	2
96	как не	2	2
97	данном случае	2	2
98	вместе с	2	2
99	в зависимости	2	2
100	в этих	3	2
101	на него	2	2
102	в своем	4	2
103	в какой	2	2
104	другой стороны	4	2
105	это не	10	2
106	вещи и	3	2
107	смысл и	2	2
108	мы имеем	3	2
109	и все	12	2
110	тогда когда	6	2
111	с одной	2	2
112	была бы	3	2
113	и что	5	2
114	не есть	47	2
115	с точки	8	2
116	как же	3	2
117	же самое	2	2
118	и притом	7	2
119	но это	7	2
120	в данном	3	2
121	и то	7	2
122	но не	6	2
123	быть только	2	2
124	могут быть	4	2
125	но что	7	2
126	одно и	4	2
127	есть уже	2	2
128	кроме того	3	2
129	она не	8	2
130	в то	6	2
131	и совершенно	2	2
132	ни на	2	2
133	мы в	2	2
134	и та	6	2
135	в чем	3	2
136	как это	7	2
137	ничего не	3	2
138	он не	4	2
139	и потому	5	2
