N	2gram	Tiupa_Lite_3	FransuaR
1	и в	16	41
2	то есть	5	24
3	и т.п	6	19
4	во всех	2	17
5	в нем	2	16
6	и с	2	16
7	и его	6	13
8	но и	14	13
9	как мы	2	12
10	в этом	14	12
11	прежде всего	3	10
12	в самом	3	10
13	не только	14	10
14	то что	12	10
15	и на	2	9
16	о том	6	9
17	никогда не	4	8
18	в этой	8	8
19	но в	3	8
20	том что	8	7
21	как бы	8	7
22	как и	5	7
23	что в	2	7
24	в его	6	7
25	что он	5	6
26	в году	5	6
27	например в	3	6
28	один из	2	6
29	вместе с	5	6
30	в то	9	6
31	то же	9	5
32	с его	6	5
33	в одном	4	5
34	в ее	5	5
35	так же	2	5
36	же время	7	5
37	а также	4	5
38	из них	4	5
39	так и	9	5
40	той же	3	5
41	еще в	3	5
42	тем что	2	5
43	в себе	6	5
44	там где	3	5
45	все время	3	4
46	с другой	6	4
47	а затем	3	4
48	именно в	5	4
49	у нас	2	4
50	и как	3	4
51	не в	10	4
52	одной стороны	4	4
53	даже в	4	4
54	все же	2	4
55	не может	8	4
56	с одной	4	4
57	как в	5	4
58	самом деле	3	4
59	того чтобы	2	4
60	и наконец	3	4
61	и даже	2	4
62	одним из	4	4
63	а в	5	4
64	более того	3	4
65	в основе	5	4
66	в другом	6	4
67	того же	2	4
68	в третьем	3	3
69	во втором	2	3
70	с этой	2	3
71	как у	4	3
72	было бы	2	3
73	и сам	2	3
74	в начале	4	3
75	жизни и	3	3
76	в первой	2	3
77	и для	4	3
78	этом отношении	5	3
79	при этом	15	3
80	и не	22	3
81	того что	9	3
82	что не	2	3
83	в данном	4	3
84	только в	7	3
85	в первом	2	3
86	потому что	3	3
87	но уже	3	2
88	для его	3	2
89	в частности	11	2
90	все они	2	2
91	всю ночь	2	2
92	в конце	2	2
93	с образом	2	2
94	стороны и	2	2
95	в том	12	2
96	раз в	2	2
97	связи с	2	2
98	но не	4	2
99	а на	2	2
100	до конца	4	2
101	со всеми	2	2
102	может быть	12	2
103	в своей	7	2
104	хотя и	4	2
105	и потому	2	2
106	себя в	7	2
107	из ведущих	2	2
108	данном случае	4	2
109	а именно	5	2
110	другой стороны	2	2
111	как раз	2	2
112	как это	3	2
113	но с	2	2
114	из того	2	2
115	лишь в	5	2
116	а не	12	2
117	с точки	3	2
118	внимание на	2	2
119	к себе	8	2
120	самим собой	3	2
121	между тем	3	2
122	он в	2	2
123	точки зрения	7	2
124	на его	3	2
125	и вовсе	2	2
126	мира и	2	2
127	в области	3	2
128	в романе	3	2
129	мира в	3	2
130	как о	2	2
