N	2gram	Tiupa_Narr_1	slovoVRo
1	и в	19	41
2	в нем	4	30
3	то есть	19	26
4	могут быть	3	19
5	но и	23	16
6	и не	20	16
7	точки зрения	10	16
8	не только	32	16
9	а не	12	15
10	то же	4	14
11	в пределах	2	14
12	может быть	25	14
13	и др	2	14
14	не может	10	14
15	и его	5	14
16	и на	3	14
17	в то	3	14
18	в сущности	3	13
19	в его	9	13
20	же время	4	12
21	как бы	4	12
22	языка и	2	12
23	в этом	17	12
24	так и	9	11
25	в той	6	10
26	или иной	5	9
27	той или	4	9
28	все эти	2	9
29	себя в	5	9
30	может не	3	8
31	прежде всего	4	8
32	точка зрения	6	8
33	в особенности	4	8
34	но в	6	8
35	как в	7	8
36	как мы	3	8
37	с точки	2	8
38	или в	2	8
39	не в	14	7
40	отношение к	2	7
41	зрения на	2	7
42	всех его	2	7
43	все же	7	7
44	это не	2	6
45	при этом	9	6
46	и даже	3	6
47	а в	11	6
48	оно не	2	6
49	только в	4	6
50	с другой	8	5
51	в основе	5	5
52	точек зрения	2	5
53	не на	2	5
54	к нему	5	5
55	далеко не	5	5
56	перед нами	4	4
57	одной стороны	7	4
58	одним из	2	4
59	в ней	3	4
60	один из	3	4
61	с ее	3	4
62	с одной	7	4
63	и с	4	4
64	и все	2	4
65	с его	6	4
66	не как	2	4
67	как и	7	4
68	еще не	7	4
69	и потому	2	4
70	о нем	4	4
71	другой стороны	4	4
72	и для	2	4
73	ничего не	2	4
74	никогда не	3	3
75	точку зрения	4	3
76	хотя бы	4	3
77	из этих	3	3
78	к тому	7	3
79	в том	18	3
80	более или	2	3
81	в свою	3	3
82	для него	2	3
83	из них	3	3
84	данном случае	4	3
85	в своем	2	3
86	именно в	6	3
87	а иногда	2	3
88	в результате	2	3
89	не было	2	3
90	о том	6	3
91	его в	2	3
92	в первом	3	3
93	по всей	2	3
94	у него	4	3
95	не могло	2	3
96	всей вероятности	2	3
97	в себе	8	3
98	по существу	2	3
99	в качестве	21	3
100	она не	2	3
101	было бы	4	3
102	одной из	4	3
103	он не	3	3
104	при всем	2	3
105	или менее	2	3
106	в данном	5	3
107	и ее	2	3
108	свою очередь	3	2
109	же как	3	2
110	в частности	14	2
111	известном смысле	2	2
112	и одновременно	2	2
113	столь же	3	2
114	или даже	2	2
115	одного из	4	2
116	можно сказать	5	2
117	ни было	3	2
118	его как	2	2
119	что они	3	2
120	они в	2	2
121	например в	2	2
122	такого рода	7	2
123	хотя и	3	2
124	вокруг него	2	2
125	между ними	2	2
126	и тем	4	2
127	зрения и	2	2
128	на том	3	2
129	как к	2	2
130	уже не	5	2
131	те же	4	2
132	так же	2	2
133	сказать что	4	2
134	того или	2	2
135	рассказ в	2	2
136	между тем	3	2
137	оно может	2	2
138	не является	8	2
139	в известном	2	2
140	между собой	2	2
141	или напротив	4	2
142	первом случае	2	2
143	или иного	2	2
144	том что	14	2
145	не с	3	2
146	то в	6	2
147	одна из	3	2
148	но не	5	2
149	не предполагает	5	2
150	при всех	2	2
151	совершенно не	2	2
152	наконец в	2	2
153	а также	7	2
154	даже в	2	2
155	в ее	3	2
156	в последние	2	2
157	как раз	2	2
158	а с	3	2
159	не есть	3	2
160	высказывания и	3	2
161	роль в	2	2
162	можно было	2	2
163	на протяжении	6	2
164	связи с	4	2
165	жизни но	2	2
166	здесь не	4	2
