N	2gram	Propp_Morf_1	Hudozhes
1	том что	4	16
2	и в	13	14
3	так и	6	13
4	а не	11	12
5	в том	6	12
6	не только	4	12
7	о том	2	12
8	прежде всего	9	11
9	и т	41	11
10	в этом	14	11
11	что он	4	9
12	как и	3	9
13	в качестве	5	9
14	то же	7	9
15	как в	3	8
16	то что	8	8
17	отношению к	4	8
18	по отношению	4	8
19	между тем	5	8
20	в этой	2	8
21	в то	3	8
22	ничего не	4	8
23	это не	6	7
24	к тому	4	7
25	уже не	2	7
26	не в	3	7
27	еще не	3	7
28	как бы	3	7
29	не может	14	7
30	а в	7	7
31	тогда как	2	7
32	что в	8	6
33	было бы	3	6
34	не менее	5	5
35	перед нами	10	5
36	с его	2	5
37	в частности	2	5
38	в этих	13	5
39	об этом	4	5
40	может быть	52	5
41	только в	2	5
42	но и	4	5
43	самом деле	4	5
44	друг друга	3	5
45	можно было	2	5
46	потому что	3	5
47	точки зрения	2	5
48	но в	2	5
49	связи с	10	4
50	тому что	4	4
51	т е	21	4
52	та же	2	4
53	на то	2	4
54	можно сказать	2	4
55	и к	4	4
56	тем не	5	4
57	то в	3	4
58	она не	2	4
59	несмотря на	4	4
60	один из	5	4
61	что она	2	4
62	из них	3	4
63	того что	3	4
64	только что	2	4
65	он не	3	4
66	как будто	2	4
67	но не	4	3
68	если бы	2	3
69	с этим	11	3
70	же в	2	3
71	как мы	6	3
72	в ходе	4	3
73	говорить о	3	3
74	на этом	3	3
75	по своему	2	3
76	что при	2	3
77	в пределах	3	3
78	все же	7	3
79	со стороны	3	3
80	приводит к	2	3
81	в связи	9	3
82	т д	39	3
83	и для	2	3
84	все эти	2	3
85	она в	2	3
86	того чтобы	3	3
87	с точки	2	3
88	и по	2	3
89	или не	3	3
90	тем что	4	3
91	его в	2	3
92	а также	4	3
93	ни к	2	2
94	если в	5	2
95	все еще	3	2
96	себя и	2	2
97	однако в	2	2
98	на вопрос	2	2
99	в море	5	2
100	то героем	2	2
101	ясно что	5	2
102	вопрос о	7	2
103	состоит в	2	2
104	или с	3	2
105	в другом	2	2
106	этот момент	3	2
107	одна из	4	2
108	и что	2	2
109	а то	3	2
110	в целом	3	2
111	например в	2	2
112	на его	4	2
113	в начале	3	2
114	хотя и	3	2
115	новое лицо	2	2
116	момент когда	2	2
117	на него	3	2
118	в форме	6	2
119	что же	2	2
120	а и	3	2
121	а а	2	2
122	а с	2	2
123	и не	12	2
124	на самом	4	2
125	это так	2	2
126	героя в	4	2
127	не имеет	2	2
128	в результате	7	2
129	действующих лиц	11	2
130	с того	3	2
131	представляют собой	11	2
132	начинается с	3	2
133	но как	2	2
134	здесь не	2	2
135	заметить что	8	2
136	мы не	8	2
