N	2gram	Tiupa_Vved_1	Istorich
1	и в	13	28
2	может быть	18	25
3	не может	7	15
4	а не	15	15
5	никогда не	4	14
6	для нас	2	13
7	мы имеем	5	13
8	что в	3	12
9	то же	5	12
10	не только	20	12
11	только в	6	11
12	все же	6	10
13	прежде всего	7	10
14	но и	19	10
15	мы не	4	10
16	в том	10	9
17	о том	5	9
18	то что	6	9
19	и не	12	9
20	не в	6	9
21	так и	8	9
22	не всегда	2	8
23	если бы	7	8
24	таким образом	4	8
25	в этом	21	8
26	но в	6	8
27	в этих	3	7
28	это не	6	7
29	том что	7	7
30	еще не	7	7
31	было бы	4	7
32	в ней	4	7
33	а в	6	7
34	что мы	2	7
35	с другой	5	6
36	не менее	4	6
37	к тому	6	6
38	тем не	3	6
39	вслед за	2	6
40	что и	2	6
41	представляют собой	3	6
42	должна быть	2	5
43	в силу	2	5
44	восходит к	2	5
45	более или	2	5
46	но не	5	5
47	например в	2	5
48	в качестве	8	5
49	или менее	2	5
50	другой стороны	2	5
51	в своем	5	5
52	можно было	2	5
53	их в	2	5
54	в его	4	5
55	к которому	2	5
56	между собой	2	4
57	в пределах	2	4
58	об этом	4	4
59	но это	3	4
60	представляет собой	15	4
61	одной стороны	5	4
62	один из	3	4
63	на него	2	4
64	так в	4	4
65	с одной	5	4
66	как и	11	4
67	того что	6	4
68	и для	3	4
69	и с	2	4
70	и на	3	4
71	к ним	2	4
72	потому что	5	4
73	в основе	3	4
74	могут быть	4	4
75	как будто	4	4
76	как правило	6	4
77	здесь не	2	4
78	не все	2	4
79	в какой	4	3
80	не как	2	3
81	перед нами	6	3
82	по себе	2	3
83	не с	3	3
84	в начале	3	3
85	при этом	26	3
86	не можем	2	3
87	наряду с	2	3
88	в котором	8	3
89	и по	3	3
90	отношению к	7	3
91	в современной	3	3
92	что же	3	3
93	уже не	5	3
94	и его	5	3
95	как мы	3	3
96	по отношению	7	3
97	также и	4	3
98	тем что	2	3
99	в то	4	3
100	будто бы	3	3
101	детей в	2	3
102	дело с	2	2
103	не существует	2	2
104	но они	2	2
105	а с	2	2
106	в рамках	4	2
107	зависит от	2	2
108	это время	2	2
109	отличие от	2	2
110	в частности	13	2
111	к этому	2	2
112	то он	2	2
113	и от	2	2
114	вследствие этого	3	2
115	том чтобы	2	2
116	мы видели	2	2
117	по своей	3	2
118	одна из	4	2
119	как о	2	2
120	связано с	3	2
121	для него	3	2
122	в данной	2	2
123	что такое	18	2
124	с ним	3	2
125	как бы	4	2
126	не вполне	3	2
127	еще в	2	2
128	подчеркнуть что	5	2
129	как оно	2	2
130	точка зрения	3	2
131	и тем	2	2
132	в нем	5	2
133	в целом	3	2
134	во всех	2	2
135	со стороны	5	2
136	как в	4	2
137	как раз	2	2
138	то и	2	2
139	в отличие	2	2
140	от этих	2	2
141	он не	3	2
142	должны были	2	2
143	приводит к	2	2
144	этих случаях	2	2
145	одним из	5	2
146	и конец	2	2
147	однако в	4	2
148	в себе	5	2
149	бы в	3	2
150	как он	2	2
151	в области	3	2
152	тоже не	2	2
153	том как	3	2
