N	2gram	Vinokur_Ku_1	FransuaR
1	и в	24	41
2	таким образом	12	19
3	в этом	14	15
4	и все	2	14
5	как и	2	14
6	в этой	3	13
7	то же	8	13
8	все эти	6	13
9	в его	12	12
10	прежде всего	9	11
11	в том	30	11
12	в себе	3	11
13	так и	7	10
14	все это	6	10
15	в то	2	10
16	в качестве	7	9
17	и его	5	9
18	не в	11	9
19	же время	2	9
20	но и	6	9
21	в своем	3	9
22	что в	17	9
23	по существу	4	8
24	то что	9	8
25	но в	2	8
26	в них	7	7
27	вовсе не	10	7
28	как бы	7	7
29	в нем	4	7
30	и не	12	7
31	это не	7	6
32	ни в	2	6
33	есть в	4	6
34	с помощью	7	6
35	только в	11	6
36	о том	9	6
37	уже в	3	5
38	не только	10	5
39	в ней	6	5
40	вместе с	7	5
41	что и	4	5
42	как в	4	5
43	того как	4	5
44	а в	5	5
45	и для	2	5
46	так же	4	5
47	точки зрения	14	5
48	потому что	23	5
49	что это	5	4
50	хотя и	3	4
51	из одного	3	4
52	и здесь	3	4
53	том что	21	4
54	но все	2	4
55	было бы	15	4
56	в сущности	3	4
57	может быть	13	4
58	он не	2	4
59	в виду	5	4
60	к жизни	2	4
61	целый ряд	5	4
62	как я	2	4
63	должно быть	3	4
64	рядом с	5	4
65	и на	4	4
66	в более	2	4
67	и с	5	4
68	ничего не	2	4
69	я не	2	3
70	и есть	2	3
71	того же	4	3
72	в одном	3	3
73	и потому	4	3
74	его к	3	3
75	свою очередь	3	3
76	в своей	2	3
77	в свою	3	3
78	при этом	6	3
79	в это	2	3
80	из них	4	3
81	несмотря на	3	3
82	например в	5	3
83	в ряде	2	3
84	о нем	2	3
85	что он	6	3
86	в их	3	3
87	не может	7	3
88	не было	3	3
89	в той	5	3
90	тем самым	4	3
91	с точки	9	3
92	не имеет	2	3
93	той же	3	3
94	можно было	6	3
95	с ними	4	3
96	тем что	8	3
97	не на	4	3
98	как о	2	3
99	так сказать	5	3
100	так как	9	3
101	от этого	2	3
102	учение о	4	2
103	что все	2	2
104	с его	4	2
105	именно в	6	2
106	а на	2	2
107	никогда не	2	2
108	в этих	4	2
109	здесь только	2	2
110	здесь как	2	2
111	с этим	4	2
112	на самом	2	2
113	том и	2	2
114	о котором	2	2
115	к тому	5	2
116	связано с	3	2
117	и еще	2	2
118	отношению к	9	2
119	слово это	5	2
120	и как	2	2
121	более или	3	2
122	своего времени	2	2
123	в большинстве	2	2
124	до конца	2	2
125	тот же	2	2
126	еще не	5	2
127	того что	9	2
128	и может	3	2
129	свидетельствует о	2	2
130	на том	3	2
131	все те	2	2
132	дело не	2	2
133	оно не	3	2
134	должен быть	4	2
135	в состоянии	2	2
136	не есть	4	2
137	же в	4	2
138	был в	2	2
139	или менее	3	2
140	по отношению	8	2
141	в связи	3	2
142	в особенности	3	2
143	в разных	2	2
144	этом отношении	5	2
145	не просто	5	2
146	не мог	2	2
147	а не	8	2
148	свое время	2	2
149	а только	8	2
150	в силах	2	2
151	уже не	8	2
152	роль в	4	2
153	или в	2	2
154	в данном	4	2
155	и то	3	2
156	в результате	5	2
157	во всяком	5	2
158	может иметь	2	2
159	в которых	6	2
160	во все	2	2
161	также и	2	2
162	в свое	2	2
163	бы в	7	2
164	в которой	6	2
165	с ним	5	2
166	в области	7	2
167	мы имеем	6	2
168	это было	2	2
169	том как	3	2
