N	2gram	Trubetskoy_1	Komedia
1	и в	23	22
2	и не	8	21
3	том что	19	13
4	в том	30	12
5	таким образом	31	12
6	так как	7	11
7	потому что	9	10
8	до сих	8	9
9	в самом	8	9
10	вместе с	6	9
11	сих пор	8	9
12	если бы	8	8
13	в своем	10	8
14	что он	7	8
15	в его	5	8
16	что и	7	8
17	в глазах	2	8
18	в этом	12	8
19	о том	7	8
20	его в	5	8
21	при этом	9	7
22	в свою	2	7
23	то же	4	7
24	только что	3	7
25	а в	3	7
26	в конце	4	7
27	к этому	5	6
28	ясно что	8	6
29	тому же	6	6
30	свою очередь	2	6
31	того же	9	6
32	еще не	5	6
33	для того	8	6
34	к тому	8	6
35	может быть	16	6
36	самом деле	12	6
37	и что	8	6
38	того чтобы	8	6
39	так что	5	6
40	в то	6	6
41	не менее	7	5
42	связи с	4	5
43	что в	8	5
44	же время	2	5
45	прежде всего	3	5
46	что его	4	5
47	и сам	2	5
48	хотя и	4	5
49	не только	7	5
50	отношение к	4	5
51	из них	5	5
52	все это	11	5
53	по отношению	9	5
54	он не	3	5
55	к нему	2	5
56	в которых	2	5
57	с ним	6	5
58	но в	4	5
59	с тем	2	4
60	но все	5	4
61	у него	5	4
62	отнюдь не	2	4
63	между собой	4	4
64	с другой	6	4
65	вовсе не	2	4
66	все же	13	4
67	не в	8	4
68	несмотря на	6	4
69	в ней	3	4
70	тем более	3	4
71	то что	18	4
72	но и	9	4
73	на него	2	4
74	и для	6	4
75	друг друга	2	4
76	так же	8	4
77	точки зрения	13	4
78	в себе	5	4
79	в связи	3	4
80	бы в	3	4
81	так и	10	4
82	хотя бы	4	4
83	и поэтому	2	4
84	и с	5	4
85	ничем не	4	4
86	на месте	2	3
87	от нее	2	3
88	в частности	2	3
89	никогда не	4	3
90	до тех	2	3
91	в них	2	3
92	то ни	3	3
93	следует что	2	3
94	с этой	3	3
95	с этим	11	3
96	на долю	2	3
97	в нем	3	3
98	далеко не	5	3
99	на то	9	3
100	и к	5	3
101	тем не	4	3
102	как и	9	3
103	в начале	2	3
104	в этой	6	3
105	со временем	2	3
106	чем в	3	3
107	по своему	5	3
108	все что	9	3
109	одной стороны	2	3
110	было бы	3	3
111	конечно не	3	3
112	к ним	2	3
113	как бы	10	3
114	из себя	10	3
115	отношению к	9	3
116	при виде	2	3
117	в целом	5	3
118	тех пор	2	3
119	не может	17	3
120	с одной	3	3
121	в течение	4	3
122	из того	4	3
123	это обстоятельство	2	3
124	с точки	8	3
125	столь же	5	3
126	тем же	2	3
127	не так	4	3
128	их в	2	3
129	мы можем	6	3
130	во всяком	2	3
131	но если	2	3
132	говорить о	2	3
133	не знает	2	3
134	в которой	5	3
135	еще больше	3	3
136	всяком случае	2	3
137	в основе	2	2
138	на вопрос	4	2
139	что их	3	2
140	ни было	2	2
141	себя и	2	2
142	ему и	2	2
143	пор не	2	2
144	и без	5	2
145	сравнению с	5	2
146	не будет	5	2
147	это не	3	2
148	и особенно	2	2
149	и все	7	2
150	представление о	3	2
151	именно потому	2	2
152	если он	2	2
153	не могут	4	2
154	если мы	4	2
155	о которой	2	2
156	мы знаем	10	2
157	этом случае	4	2
158	а затем	2	2
159	отличие от	3	2
160	по существу	6	2
161	которой мы	2	2
162	из всех	5	2
163	в силу	7	2
164	что они	2	2
165	она не	2	2
166	бы то	2	2
167	то время	2	2
168	что с	5	2
169	тот же	3	2
170	и если	6	2
171	совершенно не	3	2
172	в сущности	2	2
173	с уже	2	2
174	одним из	4	2
175	от того	3	2
176	которую он	2	2
177	конце концов	4	2
178	между ними	2	2
179	в котором	2	2
180	так или	5	2
181	если же	3	2
182	только один	2	2
183	по сравнению	5	2
184	во всех	10	2
185	в их	4	2
186	как мы	2	2
187	другой стороны	5	2
188	целый ряд	4	2
189	даже если	2	2
190	не было	2	2
191	является ли	3	2
192	в мире	6	2
193	из которых	4	2
194	что для	4	2
195	из этой	2	2
196	в таком	4	2
197	от своей	2	2
198	или иначе	5	2
199	меньше чем	2	2
200	в своих	2	2
201	и на	6	2
202	в результате	9	2
203	тому что	2	2
204	между тем	12	2
205	что касается	6	2
206	и ее	2	2
207	в другом	2	2
208	что мы	4	2
209	ближе к	3	2
210	и это	3	2
211	из этого	6	2
212	что эта	4	2
213	в области	4	2
214	в виду	2	2
