N	2gram	Tiupa_Teor_1	OGranits
1	и в	18	13
2	и его	8	12
3	прежде всего	2	9
4	не может	4	8
5	и не	13	8
6	может быть	17	8
7	и т.п	4	7
8	точки зрения	9	7
9	эстетический объект	3	7
10	в его	6	7
11	таким образом	3	6
12	не только	16	6
13	то что	3	6
14	только в	6	6
15	как бы	5	6
16	художественного произведения	4	5
17	с точки	3	5
18	в поэзии	2	5
19	и т.д	3	5
20	эстетического объекта	2	5
21	то же	7	4
22	не является	4	4
23	в своей	6	4
24	все это	2	4
25	на фоне	2	4
26	лишь в	6	4
27	материала в	2	4
28	но в	9	4
29	отношению к	4	3
30	что в	9	3
31	никогда не	4	3
32	но и	9	3
33	так и	10	3
34	в их	2	3
35	по отношению	4	3
36	в одном	2	3
37	превращается в	2	3
38	в ее	5	3
39	как и	4	3
40	не в	7	3
41	за пределы	2	3
42	в которой	2	3
43	и то	2	3
44	в пределах	5	3
45	в себе	9	3
46	в искусстве	6	3
47	говорить о	3	3
48	и для	2	3
49	не менее	4	2
50	и тем	3	2
51	в нем	4	2
52	ее в	2	2
53	в целом	3	2
54	своего рода	7	2
55	данном случае	5	2
56	а не	9	2
57	в отношении	3	2
58	в произведении	3	2
59	во времени	3	2
60	другой стороны	5	2
61	с другой	7	2
62	от своего	2	2
63	не на	2	2
64	в них	2	2
65	а в	13	2
66	с одной	2	2
67	все эти	2	2
68	вовсе не	3	2
69	роль в	2	2
70	или иного	3	2
71	на две	3	2
72	к тому	2	2
73	и к	3	2
74	как в	5	2
75	если бы	3	2
76	в том	16	2
77	так же	2	2
78	том что	9	2
79	в данном	8	2
80	в этом	8	2
81	между тем	5	2
82	в структуре	2	2
83	могут быть	4	2
84	при этом	12	2
85	и ее	3	2
86	соответствии с	2	2
87	для него	2	2
88	в другом	3	2
89	одной стороны	2	2
90	литературного произведения	7	2
91	того или	3	2
92	в области	4	2
93	в самом	4	2
94	героя и	5	2
95	мог бы	3	2
96	вслед за	2	2
97	имеет место	2	2
98	и является	2	2
99	а также	6	2
