N	3gram	Vygotskiy__5	EvropaiE
1	с точки зрения	9	16
2	с одной стороны	3	8
3	в том что	11	6
4	так же как	7	5
5	этой точки зрения	4	5
6	с этой точки	4	5
7	для того чтобы	14	5
8	само по себе	2	4
9	можно было бы	3	3
10	можно сказать что	5	3
11	в этом отношении	5	3
12	в известном смысле	7	3
13	друг с другом	7	3
14	по сравнению с	5	2
15	в свою очередь	3	2
16	приводит нас к	2	2
17	друг от друга	4	2
18	с другой стороны	2	2
19	как мы видели	2	2
20	и в частности	2	2
21	из того что	4	2
22	заключается в том	5	2
23	не может быть	3	2
24	к тому чтобы	4	2
25	хотя бы в	2	2
