N	2gram	Medvedev_S_1	Myslijsy
1	то что	2	29
2	может быть	2	26
3	таким образом	2	24
4	в том	5	23
5	и в	3	23
6	в этом	5	23
7	что в	2	17
8	только в	2	15
9	для нас	3	14
10	то же	2	14
11	том что	2	12
12	но и	2	11
13	не в	3	11
14	по отношению	2	10
15	не только	3	10
16	было бы	2	8
17	отношению к	2	8
18	и что	2	7
19	очевидно что	2	7
20	и мы	2	5
21	в его	3	5
22	как бы	2	5
23	все это	7	5
24	тем более	2	5
25	как же	3	4
26	только как	2	4
27	в смысле	2	3
28	еще не	2	3
29	и только	3	3
30	более чем	3	3
31	дело не	2	2
