N	3gram	Trubetskoy_1	Komedia
1	до сих пор	8	9
2	в том что	15	9
3	в свою очередь	2	6
4	в самом деле	5	6
5	для того чтобы	7	6
6	то же время	2	4
7	о том что	4	4
8	в то же	2	4
9	к тому же	5	4
10	в связи с	3	3
11	во всяком случае	2	3
12	с точки зрения	8	3
13	вместе с тем	2	3
14	с одной стороны	2	3
15	по отношению к	9	3
16	тем не менее	4	3
17	в конце концов	4	2
18	то ни было	2	2
19	в этом случае	4	2
20	по сравнению с	5	2
21	с другой стороны	4	2
22	из того же	2	2
23	в то время	2	2
24	бы то ни	2	2
25	именно потому что	2	2
26	но все же	2	2
27	так или иначе	5	2
