N	3gram	Losev_Prob_3	Myshleni
1	с точки зрения	2	21
2	в этом случае	5	14
3	в том что	9	13
4	по сравнению с	2	7
5	в данном случае	7	5
6	то же самое	7	5
7	о том что	3	4
8	мы могли бы	3	4
9	и тем самым	2	4
10	этой точки зрения	2	4
11	не может быть	5	4
12	заключается в том	3	4
13	и то что	7	3
14	только потому что	2	3
15	одно и то	3	3
16	тем не менее	10	3
17	можно сказать что	2	3
18	как мы видели	2	3
19	до сих пор	2	3
20	и то же	4	3
21	содержит в себе	3	3
22	в то время	4	2
23	же как и	2	2
24	точно так же	3	2
25	в отличие от	2	2
26	друг от друга	2	2
27	мы находим в	2	2
28	на самом деле	2	2
29	то время как	4	2
30	потому что он	4	2
