N	2gram	Losev_Prob_5	VerxiiNi
1	и в	30	26
2	таким образом	13	22
3	с тем	5	18
4	вместе с	7	15
5	в этом	17	15
6	точки зрения	10	13
7	как бы	6	12
8	в том	12	11
9	может быть	7	10
10	не только	18	10
11	и с	5	10
12	связи с	7	9
13	что в	5	9
14	но и	13	9
15	в области	2	9
16	так как	6	9
17	с другой	6	8
18	но не	7	8
19	и не	12	8
20	и у	5	8
21	том что	17	7
22	но все	4	7
23	одной стороны	3	7
24	из них	2	7
25	к нему	3	7
26	то что	18	7
27	в эпоху	3	7
28	а с	4	7
29	с одной	3	7
30	потому что	13	7
31	но в	9	7
32	в конце	8	6
33	представление о	2	6
34	к тому	2	6
35	того же	4	6
36	несмотря на	6	6
37	всяком случае	2	6
38	что и	6	6
39	все же	9	6
40	так и	7	6
41	в отношении	3	6
42	все эти	2	6
43	с точки	8	6
44	во всяком	2	6
45	в себе	4	6
46	о том	12	6
47	том числе	2	5
48	и к	4	5
49	крайней мере	4	5
50	отношение к	2	5
51	до сих	2	5
52	в его	12	5
53	никогда не	7	5
54	сих пор	2	5
55	так же	5	5
56	а не	5	5
57	того чтобы	2	5
58	для того	3	5
59	в силу	5	5
60	богов и	4	5
61	и для	6	5
62	по крайней	4	5
63	учение о	3	4
64	что он	7	4
65	в нем	6	4
66	богами и	2	4
67	в смысле	4	4
68	в самом	5	4
69	в котором	2	4
70	не может	5	4
71	и только	2	4
72	а в	6	4
73	то же	2	4
74	и что	6	4
75	и тогда	2	4
76	боги и	2	4
77	в виде	10	4
78	он не	3	4
79	в то	4	4
80	только в	9	4
81	то есть	21	4
82	в этой	10	4
83	далеко не	4	4
84	не менее	5	3
85	и другие	3	3
86	как о	4	3
87	хотя бы	2	3
88	точно так	3	3
89	к этому	2	3
90	ясно что	4	3
91	можно сказать	6	3
92	так что	11	3
93	и как	6	3
94	из всех	2	3
95	в своем	11	3
96	в качестве	4	3
97	и нет	2	3
98	и о	5	3
99	тем не	5	3
100	отношению к	2	3
101	когда он	2	3
102	всех богов	3	3
103	оказывается что	4	3
104	в связи	7	3
105	при этом	4	3
106	уже не	6	3
107	в значительной	2	3
108	того что	3	3
109	и даже	14	3
110	в которой	5	3
111	в таком	2	3
112	с этой	2	3
113	в результате	7	3
114	конце концов	6	3
115	в других	3	3
116	в одном	3	3
117	уже в	2	2
118	не могут	2	2
119	на небе	2	2
120	он в	3	2
121	именно в	3	2
122	в них	2	2
123	только для	2	2
124	тогда когда	4	2
125	прежде всего	6	2
126	не всегда	3	2
127	в свою	2	2
128	на то	2	2
129	от них	2	2
130	а также	3	2
131	по существу	2	2
132	то ни	2	2
133	в начале	3	2
134	что именно	2	2
135	все что	2	2
136	и другой	2	2
137	тот же	3	2
138	еще не	3	2
139	со всеми	2	2
140	конечно не	2	2
141	вслед за	2	2
142	значительной мере	2	2
143	и является	2	2
144	один из	2	2
145	бы то	2	2
146	не к	2	2
147	жизни и	2	2
148	и люди	2	2
149	иной раз	2	2
150	если не	4	2
151	мы имеем	2	2
152	и сейчас	2	2
153	в самой	3	2
154	свидетельствует о	2	2
155	его не	2	2
156	и на	6	2
157	людей и	13	2
158	сказать что	9	2
159	больше чем	2	2
160	не в	7	2
161	мы можем	5	2
162	по своей	2	2
163	о котором	3	2
164	и после	3	2
165	и все	9	2
166	из этого	4	2
167	после его	2	2
168	между тем	2	2
169	в виду	3	2
