N	2gram	Tiupa_Hudo_2	Hudozhes
1	в мире	7	23
2	в качестве	4	19
3	состоит в	7	16
4	и не	18	16
5	в том	15	15
6	и в	28	15
7	не только	11	15
8	в частности	7	13
9	может быть	8	13
10	тогда как	7	13
11	при этом	11	12
12	а в	6	12
13	и его	5	12
14	но не	4	11
15	в этом	13	11
16	в себе	9	11
17	как бы	5	10
18	отношению к	7	10
19	но и	9	10
20	так и	8	10
21	по отношению	7	10
22	то же	6	10
23	а не	14	10
24	в его	11	9
25	точки зрения	2	9
26	в душе	8	8
27	себя в	8	8
28	своего рода	16	8
29	сводится к	6	8
30	в миропорядке	4	8
31	с другой	3	7
32	или иной	2	7
33	в принципе	2	7
34	в то	6	7
35	но в	2	7
36	я и	6	7
37	в основе	2	6
38	с его	5	6
39	что в	5	6
40	в ее	18	6
41	том что	19	6
42	не в	13	6
43	же время	4	6
44	отношение к	2	6
45	в тексте	5	6
46	приводит к	2	6
47	не может	4	6
48	художественности в	2	5
49	можно сказать	6	5
50	а также	2	5
51	только в	4	5
52	тем самым	2	5
53	в самом	5	5
54	я с	2	5
55	в нем	3	5
56	с ее	5	5
57	то что	6	5
58	между ними	2	5
59	уже не	10	5
60	внешней данности	8	5
61	героя и	3	5
62	место в	2	4
63	в этих	3	4
64	не столько	2	4
65	личности в	3	4
66	прежде всего	3	4
67	к тому	7	4
68	в другом	2	4
69	воспринимающего сознания	2	4
70	внутреннего я	2	4
71	для него	5	4
72	еще не	3	4
73	он не	4	4
74	жизни как	5	4
75	в своей	6	4
76	со стороны	3	4
77	внутренней заданности	7	4
78	и то	2	4
79	сказать что	2	4
80	между тем	8	4
81	говорить о	2	4
82	и т.д	2	4
83	роли в	2	4
84	как это	7	4
85	личности и	2	3
86	не менее	5	3
87	если бы	6	3
88	однако в	2	3
89	конечном счете	3	3
90	это не	6	3
91	была бы	3	3
92	как уже	2	3
93	или иного	2	3
94	что он	8	3
95	и к	2	3
96	тем не	4	3
97	со своей	2	3
98	о чем	8	3
99	того или	2	3
100	как раз	4	3
101	художественного целого	5	3
102	в роли	2	3
103	в конечном	4	3
104	человеческой жизни	6	3
105	к нему	3	3
106	не будет	2	3
107	и состоит	3	3
108	как и	11	3
109	лишь в	2	3
110	во втором	2	3
111	с точки	2	3
112	и для	2	3
113	являет собой	2	3
114	в рассказе	21	3
115	не случайно	10	3
116	потому что	2	3
117	автора и	2	3
118	и ее	3	3
119	в данном	2	3
120	и внешней	2	3
121	его в	2	3
122	в художественном	4	3
123	всего лишь	3	3
124	на этом	2	2
125	я не	7	2
126	и составляет	2	2
127	в контексте	2	2
128	себя и	2	2
129	способность к	2	2
130	в нашем	2	2
131	тому что	4	2
132	жизни в	7	2
133	в своем	5	2
134	в них	3	2
135	превращается в	4	2
136	человеческого я	4	2
137	не как	2	2
138	в одном	3	2
139	человека и	3	2
140	вовсе не	2	2
141	роль в	2	2
142	об этом	7	2
143	о его	2	2
144	личности с	2	2
145	с самим	2	2
146	одна из	2	2
147	говорит в	2	2
148	могла бы	2	2
149	одной стороны	3	2
150	и сам	5	2
151	несмотря на	3	2
152	и о	4	2
153	одной из	3	2
154	не является	2	2
155	для себя	6	2
156	оно не	2	2
157	не все	3	2
158	по преимуществу	3	2
159	дело не	2	2
160	как в	5	2
161	жизни то	2	2
162	здесь не	2	2
163	а с	3	2
164	с одной	3	2
165	именно в	2	2
166	того чтобы	4	2
167	для того	4	2
168	или в	3	2
169	так же	3	2
170	с ним	7	2
171	с другими	3	2
172	человеческого бытия	2	2
173	и на	3	2
174	у него	5	2
175	одно из	5	2
176	самим собою	2	2
177	человеческих отношений	2	2
178	о себе	3	2
179	в финале	2	2
180	в этой	5	2
181	о том	12	2
182	и это	3	2
183	бы не	3	2
