N	2gram	Bakhtin_Fr_6	Poddanst
1	не только	10	17
2	и в	41	14
3	и не	3	12
4	в области	2	11
5	в этом	12	10
6	то же	5	9
7	в том	2	9
8	но в	8	9
9	же время	5	7
10	в то	6	7
11	только в	3	7
12	но и	13	6
13	в ней	4	6
14	было бы	3	6
15	с другой	4	5
16	не в	4	5
17	может быть	2	5
18	в котором	4	4
19	то что	10	4
20	что в	7	4
21	в своем	5	4
22	не может	4	4
23	а в	4	4
24	том что	7	4
25	а также	5	4
26	как бы	7	4
27	и потому	2	4
28	в нем	16	3
29	с одной	4	3
30	прежде всего	10	3
31	заключается в	2	3
32	с точки	2	3
33	мы не	2	3
34	и как	4	3
35	между тем	2	3
36	но не	2	3
37	точки зрения	2	3
38	в себе	5	3
39	что мы	2	3
40	тот же	4	3
41	одной стороны	4	3
42	потому что	3	3
43	хотя и	2	3
44	именно в	4	2
45	во всех	17	2
46	в частности	2	2
47	не будем	2	2
48	тем более	2	2
49	в них	7	2
50	есть нечто	2	2
51	все это	11	2
52	как раз	2	2
53	и весьма	2	2
54	с этим	3	2
55	еще более	2	2
56	стороны и	2	2
57	в значительной	2	2
58	а не	2	2
59	того что	3	2
60	для нас	2	2
61	в ее	5	2
62	говорить о	2	2
63	есть в	3	2
64	в начале	3	2
65	из них	5	2
66	например в	6	2
67	знать что	2	2
68	никак не	3	2
69	в эту	2	2
70	в его	7	2
71	и с	16	2
