N	3gram	Vygotskiy__1	Marksizm
1	с точки зрения	2	20
2	не может быть	8	13
3	в самом деле	7	9
4	до сих пор	3	8
5	в настоящее время	2	6
6	в отличие от	3	5
7	с другой стороны	5	5
8	то же самое	2	3
9	в конце концов	3	3
10	в этом отношении	2	3
11	в том что	9	3
12	для того чтобы	5	3
13	отношения базиса и	2	2
14	смысле этого слова	2	2
15	и той же	3	2
16	так же как	4	2
17	от того что	2	2
18	в таком случае	2	2
19	тем не менее	2	2
20	только на почве	2	2
21	сама по себе	2	2
22	во всяком случае	6	2
23	в этом смысле	2	2
24	одной и той	3	2
