N	2gram	Propp_Isto_6	Hudozhes
1	том что	10	16
2	и в	26	14
3	так и	5	13
4	а не	2	12
5	в том	12	12
6	не только	10	12
7	при этом	3	12
8	о том	7	12
9	прежде всего	4	11
10	и т	10	11
11	в этом	12	11
12	в себе	3	11
13	в своей	3	10
14	у него	7	9
15	что он	9	9
16	как и	5	9
17	в качестве	3	9
18	то же	5	9
19	как в	6	8
20	то что	6	8
21	отношению к	2	8
22	по отношению	2	8
23	в этой	2	8
24	в то	5	8
25	в его	5	8
26	ничего не	2	8
27	это не	4	7
28	к тому	2	7
29	уже не	7	7
30	не в	3	7
31	еще не	9	7
32	своего рода	2	7
33	как бы	4	7
34	не может	6	7
35	а в	3	7
36	тогда как	2	7
37	никогда не	13	6
38	что в	12	6
39	было бы	2	6
40	человека в	2	6
41	перед нами	2	5
42	с его	4	5
43	в частности	3	5
44	в этих	2	5
45	к себе	2	5
46	может быть	11	5
47	только в	5	5
48	и он	4	5
49	но и	9	5
50	жизни и	2	5
51	и его	7	5
52	можно было	2	5
53	в городе	2	5
54	потому что	13	5
55	ни в	2	5
56	но в	7	5
57	в своем	2	4
58	т е	22	4
59	та же	3	4
60	и от	3	4
61	на то	2	4
62	можно сказать	2	4
63	она не	3	4
64	мы уже	6	4
65	в ней	5	4
66	один из	3	4
67	что она	3	4
68	не было	3	4
69	того что	2	4
70	только что	2	4
71	он не	2	4
72	как будто	3	4
73	в русской	6	4
74	и это	8	4
75	с ним	8	4
76	и с	6	4
77	но не	2	3
78	если бы	3	3
79	что у	2	3
80	превращается в	7	3
81	но он	2	3
82	в лице	2	3
83	с этим	2	3
84	как мы	4	3
85	от него	3	3
86	что при	2	3
87	еще в	3	3
88	даже в	2	3
89	в нем	8	3
90	все же	8	3
91	со стороны	3	3
92	то и	2	3
93	т д	8	3
94	все эти	8	3
95	она в	2	3
96	и по	4	3
97	в своих	3	3
98	тем что	5	3
99	такой же	3	3
100	и на	12	3
101	его в	5	3
102	а также	4	3
103	том как	3	3
104	и другое	2	2
105	уже знаем	2	2
106	однако в	2	2
107	так в	6	2
108	не означает	2	2
109	в одной	2	2
110	вопрос о	3	2
111	к своему	3	2
112	мы знаем	2	2
113	живет в	2	2
114	так что	3	2
115	же как	3	2
116	одна из	2	2
117	об одном	2	2
118	и что	5	2
119	например в	7	2
120	на его	4	2
121	в него	3	2
122	людей а	2	2
123	как он	6	2
124	на том	8	2
125	сих пор	4	2
126	что когда	2	2
127	на него	2	2
128	в форме	2	2
129	что же	2	2
130	приходит в	2	2
131	а с	2	2
132	и не	10	2
133	там же	3	2
134	они не	3	2
135	героя в	2	2
136	что не	2	2
137	не имеет	2	2
138	в это	4	2
139	с ними	2	2
140	с этой	2	2
141	о котором	2	2
142	видно что	2	2
143	но как	4	2
144	здесь не	2	2
145	мы не	6	2
146	до сих	4	2
