N	2gram	Losev_Dial_3	Tvorches
1	и в	24	20
2	не только	23	13
3	и т	24	13
4	никогда не	7	11
5	т д	23	11
6	как бы	3	11
7	в его	2	10
8	таким образом	13	10
9	в то	5	10
10	и его	5	9
11	и не	27	9
12	прежде всего	8	8
13	в том	5	8
14	при этом	2	8
15	но и	9	8
16	может быть	13	8
17	в этом	8	8
18	и с	6	8
19	это не	4	7
20	же время	3	7
21	что в	7	7
22	не может	19	7
23	то же	6	7
24	потому что	7	7
25	у него	2	6
26	что он	13	6
27	как и	7	6
28	так и	5	6
29	все это	6	6
30	именно в	2	6
31	а не	26	6
32	но это	5	5
33	еще не	2	5
34	но не	2	5
35	например в	2	5
36	все же	3	5
37	и даже	13	5
38	так же	4	5
39	и на	3	5
40	о том	6	5
41	об этом	6	4
42	что у	2	4
43	и от	3	4
44	мы не	5	4
45	показывает что	2	4
46	том что	8	4
47	отнюдь не	10	4
48	хотя и	5	4
49	что она	9	4
50	если не	3	4
51	все эти	3	4
52	тем самым	3	4
53	не в	3	4
54	а в	2	4
55	в чем	4	4
56	и потому	2	4
57	ничего не	17	4
58	если бы	6	4
59	но в	2	4
60	я бы	3	3
61	же как	2	3
62	превращается в	6	3
63	с этой	5	3
64	в одной	3	3
65	быть может	3	3
66	одна из	3	3
67	для него	4	3
68	что не	5	3
69	в самом	7	3
70	он не	5	3
71	в нем	3	3
72	мифа в	2	3
73	то что	14	3
74	и это	4	3
75	в их	2	3
76	так как	6	3
77	уже не	5	3
78	в таком	14	3
79	тем что	3	3
80	в своих	2	3
81	в себе	2	3
82	нет ничего	9	3
83	ни к	3	2
84	зависит от	2	2
85	все время	3	2
86	не менее	11	2
87	и есть	16	2
88	личности в	2	2
89	и без	3	2
90	с другой	4	2
91	по крайней	5	2
92	я не	6	2
93	не мешает	2	2
94	вовсе не	13	2
95	во всяком	2	2
96	а я	2	2
97	и ее	3	2
98	крайней мере	5	2
99	ни во	2	2
100	что его	5	2
101	тому же	2	2
102	у нас	4	2
103	д и	6	2
104	так что	8	2
105	как о	4	2
106	и если	2	2
107	в частности	2	2
108	но если	6	2
109	всяком случае	2	2
110	нет и	4	2
111	точка зрения	5	2
112	себя в	2	2
113	в истории	4	2
114	и тогда	5	2
115	так в	2	2
116	не было	3	2
117	самом деле	6	2
118	и что	15	2
119	во что	4	2
120	и у	2	2
121	другой стороны	2	2
122	и он	2	2
123	и по	2	2
124	друг друга	3	2
125	что этот	2	2
126	в основе	3	2
127	из них	3	2
128	в виде	8	2
129	могут быть	2	2
130	говорил что	2	2
131	и многое	2	2
132	говорить о	4	2
133	и вообще	2	2
134	и только	6	2
135	только в	5	2
136	при помощи	3	2
137	таком случае	10	2
138	из этого	2	2
139	их в	2	2
140	более не	2	2
