N	2gram	Vinokur_Ku_2	VelikijI
1	и не	16	20
2	и в	23	16
3	то что	9	9
4	так как	15	9
5	еще не	5	8
6	что они	2	7
7	и потому	2	7
8	а не	10	7
9	хотя и	4	5
10	как бы	4	5
11	но и	7	5
12	все это	5	5
13	того что	3	5
14	и есть	2	4
15	что все	5	4
16	что он	5	4
17	в нем	4	4
18	как и	2	4
19	что мы	6	4
20	так и	4	4
21	что не	6	4
22	потому что	25	4
23	в этом	18	4
24	в ней	3	4
25	говорить о	4	4
26	и все	2	4
27	в его	5	4
28	должна быть	5	3
29	что в	10	3
30	в них	4	3
31	превращается в	2	3
32	в конце	4	3
33	ни в	4	3
34	в том	19	3
35	не в	8	3
36	но это	3	3
37	что я	4	3
38	тот же	5	3
39	к тому	4	3
40	никогда не	2	3
41	оно не	2	3
42	что и	3	3
43	как не	3	3
44	в своей	2	3
45	бы и	4	3
46	не было	4	3
47	лишь в	5	3
48	и что	8	3
49	не имеет	4	3
50	хотя бы	9	3
51	и для	2	3
52	должно быть	4	3
53	от этого	2	3
54	в первый	3	3
55	все эти	12	3
56	но в	11	3
57	не могут	5	2
58	с тем	2	2
59	это не	6	2
60	прежде всего	8	2
61	его к	2	2
62	под этим	2	2
63	для нас	4	2
64	да и	6	2
65	том что	11	2
66	но не	6	2
67	конечно не	2	2
68	когда в	2	2
69	того чтобы	11	2
70	не только	20	2
71	один из	5	2
72	и т	39	2
73	вопросе о	2	2
74	на том	2	2
75	всего в	3	2
76	в форме	3	2
77	т д	14	2
78	все равно	2	2
79	тем что	3	2
80	уже не	8	2
81	материалом для	2	2
82	вот почему	3	2
83	а в	3	2
84	можно было	9	2
85	и то	5	2
86	между тем	6	2
87	могут быть	4	2
88	только в	5	2
89	и это	3	2
90	во всяком	5	2
