N	2gram	Vinokur_Ku_1	Poddanst
1	не только	10	17
2	и в	24	14
3	и не	12	12
4	в области	7	11
5	в этом	14	10
6	то же	8	9
7	в том	30	9
8	в качестве	7	9
9	но в	2	9
10	хотя бы	10	8
11	в пределах	4	8
12	же время	2	7
13	в то	2	7
14	только в	11	7
15	но и	6	6
16	в ней	6	6
17	в смысле	2	6
18	xix века	5	6
19	было бы	15	6
20	с другой	7	5
21	не в	11	5
22	в которых	6	5
23	и пр	15	5
24	может быть	13	5
25	же в	4	4
26	в котором	3	4
27	то что	9	4
28	что в	17	4
29	если бы	9	4
30	в своем	3	4
31	не может	7	4
32	но также	2	4
33	по себе	2	4
34	а в	5	4
35	том что	21	4
36	и если	3	4
37	как бы	7	4
38	и потому	4	4
39	в нем	4	3
40	и т	33	3
41	с тем	5	3
42	это не	7	3
43	т е	38	3
44	прежде всего	9	3
45	заключается в	2	3
46	тем самым	4	3
47	для того	16	3
48	с точки	9	3
49	сводится к	3	3
50	и как	2	3
51	с ними	4	3
52	между тем	5	3
53	но не	5	3
54	точки зрения	14	3
55	в себе	3	3
56	тот же	2	3
57	потому что	23	3
58	хотя и	3	3
59	не менее	7	2
60	и тем	2	2
61	так называемые	3	2
62	для них	2	2
63	именно в	6	2
64	и есть	2	2
65	в частности	4	2
66	тем более	2	2
67	со стороны	4	2
68	в них	7	2
69	все это	6	2
70	как раз	8	2
71	не столько	2	2
72	с этим	4	2
73	между прочим	2	2
74	было в	2	2
75	а не	8	2
76	того что	9	2
77	слова но	2	2
78	должно быть	3	2
79	для нас	2	2
80	как на	3	2
81	если в	2	2
82	в русском	4	2
83	есть в	4	2
84	которое в	2	2
85	в силу	10	2
86	переход от	4	2
87	не было	3	2
88	из них	4	2
89	нужно было	2	2
90	в общем	3	2
91	и мы	2	2
92	например в	5	2
93	никак не	2	2
94	в его	12	2
95	и с	5	2
