N	2gram	Voloshinov_1	Vladivir
1	и в	38	31
2	не только	27	24
3	а к	2	22
4	но и	13	19
5	то что	8	18
6	и не	14	17
7	и даже	3	15
8	том что	3	14
9	в этом	10	14
10	и с	5	14
11	что он	2	12
12	в его	6	12
13	но в	5	12
14	с его	7	11
15	в том	2	11
16	потому что	5	11
17	о том	4	11
18	и то	3	10
19	также и	2	10
20	он не	2	10
21	никогда не	7	9
22	как мы	9	9
23	а в	5	9
24	даже и	2	9
25	только в	6	9
26	в конце	6	9
27	в дальнейшем	2	8
28	в то	9	8
29	так как	7	8
30	уже в	5	7
31	для него	3	7
32	кроме того	2	7
33	об этом	3	7
34	и его	7	7
35	как это	5	7
36	сказать что	3	7
37	мы уже	10	7
38	еще и	2	7
39	к этому	2	6
40	и к	4	6
41	можно сказать	4	6
42	у нас	4	6
43	в качестве	4	6
44	и потому	2	6
45	и сам	2	6
46	может быть	13	6
47	в котором	3	6
48	так и	6	6
49	не может	12	6
50	то же	14	6
51	то он	3	6
52	а с	5	5
53	все это	4	5
54	вовсе не	2	5
55	не в	6	5
56	но как	2	5
57	и от	7	5
58	что и	3	5
59	жизни и	3	5
60	что же	8	5
61	не было	2	5
62	в своих	2	5
63	с ним	2	5
64	же время	7	4
65	что у	3	4
66	и все	4	4
67	в нем	4	4
68	главным образом	3	4
69	для нас	3	4
70	в себе	9	4
71	да и	4	4
72	и вообще	2	4
73	как и	10	4
74	и как	9	4
75	в этой	6	4
76	по своей	2	4
77	хотя и	3	4
78	один из	4	4
79	в нашем	5	4
80	себя в	4	4
81	в своей	2	4
82	в нас	2	4
83	несмотря на	2	4
84	к нему	2	4
85	в которой	7	4
86	мы увидим	5	3
87	к тому	4	3
88	отнюдь не	10	3
89	и так	6	3
90	в жизни	2	3
91	как в	2	3
92	к своему	4	3
93	но не	2	3
94	но это	2	3
95	по своему	3	3
96	но что	3	3
97	ничего не	8	3
98	тот же	2	3
99	конце концов	3	3
100	все же	7	3
101	на его	5	3
102	в целом	4	3
103	отношение к	2	3
104	вместе с	5	3
105	на него	4	3
106	только на	3	3
107	в отношении	2	3
108	в связи	2	3
109	таким образом	7	3
110	все эти	2	3
111	и вот	3	3
112	если не	3	3
113	здесь мы	3	3
114	не мог	3	3
115	уже не	4	3
116	и он	2	3
117	и на	6	3
118	то мы	3	3
119	и здесь	3	3
120	в начале	3	3
121	здесь не	2	3
122	то есть	4	3
123	место в	2	2
124	тем что	2	2
125	мы будем	6	2
126	с тем	8	2
127	в частности	3	2
128	но даже	2	2
129	нет и	3	2
130	хотя бы	18	2
131	ясно что	2	2
132	в тех	3	2
133	одной из	2	2
134	тому же	2	2
135	которой мы	4	2
136	впоследствии и	2	2
137	еще не	3	2
138	при этом	9	2
139	того что	4	2
140	было бы	7	2
141	совершенно не	3	2
142	в самом	4	2
143	конечно не	3	2
144	на это	4	2
145	из них	3	2
146	но мы	2	2
147	и для	3	2
148	лишь в	4	2
149	тем самым	7	2
150	того чтобы	7	2
151	для того	9	2
152	что мы	11	2
153	что такое	4	2
154	своей жизни	5	2
155	той же	5	2
156	точки зрения	10	2
157	в каком	2	2
158	мы должны	10	2
159	и это	7	2
160	и ни	2	2
161	ответ на	2	2
