N	2gram	Nazirov_Tr_1	KulturaY
1	потому что	2	25
2	и в	18	23
3	не только	8	20
4	в том	2	19
5	в этом	9	18
6	и не	7	16
7	может быть	7	15
8	в самом	2	12
9	все эти	3	12
10	том что	4	11
11	но в	6	11
12	в русском	2	10
13	что в	4	10
14	вопрос о	2	9
15	то что	4	9
16	не может	5	9
17	прежде всего	4	8
18	не в	2	8
19	уже не	2	8
20	и что	4	8
21	что это	5	7
22	все же	5	7
23	но и	4	7
24	и с	7	7
25	это не	5	6
26	в этой	4	6
27	то же	5	6
28	и на	7	6
29	я не	4	5
30	не могут	2	5
31	что все	2	5
32	что он	6	5
33	об этом	4	5
34	еще не	4	5
35	несмотря на	5	5
36	в его	3	5
37	один из	3	5
38	да здравствует	2	5
39	все это	4	5
40	как это	3	5
41	и то	2	5
42	и здесь	2	5
43	отнюдь не	3	4
44	перед нами	2	4
45	бы и	2	4
46	к тому	2	4
47	ни в	2	4
48	но все	2	4
49	что я	4	4
50	должно быть	3	4
51	своего рода	3	4
52	как бы	7	4
53	в нем	4	4
54	так же	4	4
55	не имеет	2	4
56	вряд ли	2	4
57	в данном	2	4
58	в то	5	4
59	в конце	3	4
60	ничего не	2	4
61	так и	5	4
62	уже в	3	3
63	у него	6	3
64	точно так	2	3
65	же время	6	3
66	но это	4	3
67	знает что	2	3
68	до конца	2	3
69	он не	2	3
70	что и	2	3
71	что она	2	3
72	как в	3	3
73	то и	2	3
74	и его	6	3
75	тем что	2	3
76	и это	2	3
77	с тем	2	2
78	в частности	2	2
79	никогда не	2	2
80	и все	4	2
81	и до	2	2
82	первого же	2	2
83	не просто	2	2
84	только о	2	2
85	как будто	3	2
86	при этом	3	2
87	по поводу	2	2
88	по словам	2	2
89	и даже	4	2
90	к нему	3	2
91	данном случае	2	2
92	в своем	3	2
93	в отличие	2	2
94	что за	3	2
95	как и	5	2
96	в году	9	2
97	с первого	2	2
98	тем самым	3	2
99	в глазах	2	2
100	он и	2	2
101	как у	2	2
102	отличие от	2	2
