N	2gram	Trubetskoy_1	PoTuStor
1	может быть	9	17
2	и в	14	16
3	прежде всего	8	9
4	таким образом	11	9
5	в этом	17	9
6	мы можем	2	9
7	и только	5	9
8	совершенно не	2	8
9	и с	7	8
10	точки зрения	11	8
11	не может	22	8
12	не только	9	7
13	и к	6	6
14	с точки	9	6
15	самом деле	7	6
16	для него	6	6
17	при этом	5	6
18	конечно не	5	6
19	только для	2	5
20	все эти	2	5
21	что такое	2	5
22	ни в	2	5
23	еще не	3	5
24	как бы	4	5
25	в нем	5	4
26	отнюдь не	7	4
27	но и	10	4
28	все это	6	4
29	хотя бы	5	4
30	так как	4	4
31	и не	19	4
32	на самом	6	4
33	а потому	5	4
34	но мы	3	4
35	и наконец	2	4
36	и даже	2	4
37	и на	5	4
38	в этой	4	4
39	все что	4	4
40	только в	5	4
41	его в	4	4
42	для всех	6	4
43	но в	2	4
44	в его	4	4
45	во время	2	3
46	на этой	2	3
47	в этих	2	3
48	что в	4	3
49	жизни и	4	3
50	и есть	2	3
51	во всех	5	3
52	вместе с	4	3
53	сих пор	5	3
54	даже не	2	3
55	в большинстве	3	3
56	отношения к	2	3
57	к себе	2	3
58	и вот	2	3
59	большинстве случаев	2	3
60	в том	17	3
61	а в	5	3
62	том что	9	3
63	и как	3	3
64	то что	13	3
65	их в	2	3
66	только на	2	3
67	в области	2	3
68	во всяком	9	3
69	и потому	3	3
70	до сих	5	3
71	всяком случае	6	3
72	и этот	3	2
73	ее в	2	2
74	не могут	4	2
75	что и	3	2
76	не есть	3	2
77	не будет	7	2
78	в частности	2	2
79	никогда не	5	2
80	сделать это	2	2
81	между собой	5	2
82	для этого	3	2
83	из этих	3	2
84	с этим	2	2
85	то же	11	2
86	с нею	3	2
87	что оно	3	2
88	сводится к	3	2
89	что он	6	2
90	у него	2	2
91	и по	3	2
92	и для	6	2
93	для нас	2	2
94	как и	4	2
95	так же	2	2
96	но это	2	2
97	путь к	4	2
98	мы уже	2	2
99	знаем что	3	2
100	он не	5	2
101	есть и	2	2
102	не можем	2	2
103	говорить о	3	2
104	в начале	2	2
105	было бы	5	2
106	что это	3	2
107	о том	7	2
108	в самом	3	2
109	в своей	5	2
110	и о	2	2
111	с ним	2	2
112	себя и	5	2
