N	2gram	Losev_Prob_3	VrazhdaK
1	у тургенева	2	11
2	не только	14	9
3	в этом	17	8
4	и что	7	8
5	и в	44	8
6	но и	10	7
7	что в	8	7
8	то что	23	7
9	и все	3	7
10	в котором	2	6
11	в нем	9	6
12	все же	6	6
13	и даже	14	6
14	как и	10	6
15	в начале	2	6
16	но в	12	6
17	и с	9	6
18	то же	13	5
19	не было	5	5
20	и не	35	5
21	об этом	3	5
22	в то	9	5
23	уже в	3	4
24	для нас	16	4
25	как бы	9	4
26	все это	5	4
27	это не	9	4
28	что он	9	4
29	так же	5	4
30	с ним	7	4
31	может быть	28	4
32	при этом	4	4
33	о том	6	4
34	в ней	5	4
35	в виду	10	4
36	связи с	8	3
37	в своем	5	3
38	что у	3	3
39	эти слова	2	3
40	и во	2	3
41	в связи	7	3
42	в конце	5	3
43	на то	3	3
44	и у	2	3
45	в том	21	3
46	и его	5	3
47	том что	12	3
48	и как	3	3
49	тем что	4	3
50	в его	9	3
51	его в	3	3
52	и о	5	3
53	в чем	4	3
54	он не	8	3
55	а с	2	2
56	он сам	4	2
57	в известном	2	2
58	в своей	5	2
59	и это	9	2
60	время и	2	2
61	из них	2	2
62	не менее	10	2
63	никогда не	6	2
64	вместе с	2	2
65	отнюдь не	10	2
66	как раз	8	2
67	не может	7	2
68	по мнению	2	2
69	а в	5	2
70	отношения к	3	2
71	таким образом	9	2
72	это в	2	2
73	но это	8	2
74	в той	3	2
75	уже не	7	2
76	на первый	4	2
77	же не	2	2
78	с точки	2	2
79	же в	3	2
80	тем более	3	2
81	в этой	3	2
82	и то	14	2
83	же как	3	2
84	но как	4	2
85	точки зрения	5	2
86	и ее	3	2
87	в себе	8	2
88	для него	3	2
89	в нашей	2	2
90	еще не	5	2
91	о чем	2	2
92	при помощи	8	2
93	с нею	2	2
94	а также	4	2
