N	2gram	Tiupa_Narr_1	VeschiIm
1	не есть	3	49
2	не может	10	33
3	не только	32	31
4	может быть	25	29
5	и не	20	28
6	и в	19	26
7	то что	11	24
8	а не	12	20
9	только в	4	14
10	по себе	5	13
11	что это	3	12
12	было бы	4	12
13	но и	23	12
14	сказать что	4	12
15	все же	7	12
16	в себя	6	12
17	и ее	2	12
18	то же	4	10
19	уже не	5	10
20	в ней	3	10
21	как бы	4	10
22	что мы	2	10
23	в том	18	9
24	бы то	3	9
25	и с	4	9
26	ни было	3	9
27	прежде всего	4	9
28	то ни	3	9
29	что не	4	9
30	себя и	2	8
31	иное как	2	8
32	с ее	3	8
33	что иное	2	8
34	не что	2	8
35	в себе	8	8
36	ничего не	2	8
37	совершенно не	2	7
38	говорить о	2	7
39	в то	3	7
40	его в	2	7
41	том что	14	7
42	себя в	5	7
43	не будет	3	7
44	как раз	2	7
45	в этом	17	7
46	и как	5	6
47	что они	3	6
48	что в	3	6
49	для него	2	6
50	жизни и	3	6
51	со стороны	9	6
52	отличается от	4	6
53	и только	2	6
54	в результате	2	6
55	точки зрения	10	6
56	когда мы	2	6
57	но в	6	6
58	она не	2	6
59	можно было	2	6
60	а если	2	6
61	не менее	3	5
62	должна быть	2	5
63	это не	2	5
64	тем не	3	5
65	не в	14	5
66	свою очередь	3	5
67	еще не	7	5
68	и до	2	5
69	а в	11	5
70	как к	2	5
71	отнюдь не	5	5
72	в свою	3	5
73	в ее	3	5
74	это и	3	5
75	одна из	3	5
76	но не	5	5
77	в сущности	3	5
78	есть всегда	2	5
79	и для	2	5
80	на себя	3	5
81	с чем	2	4
82	в своем	2	4
83	с другой	8	4
84	независимо от	2	4
85	же время	4	4
86	точка зрения	6	4
87	из них	3	4
88	и даже	3	4
89	о том	6	4
90	не существует	3	4
91	и все	2	4
92	как и	7	4
93	не предполагает	5	4
94	и потому	2	4
95	нет и	2	4
96	оно не	2	4
97	даже не	3	4
98	между ними	2	4
99	с точки	2	4
100	то или	3	4
101	в данном	5	4
102	тем что	3	4
103	же не	4	4
104	никогда не	3	3
105	в собственном	2	3
106	что именно	2	3
107	можно сказать	5	3
108	к тому	7	3
109	несмотря на	2	3
110	более или	2	3
111	было в	2	3
112	в нем	4	3
113	отношение к	2	3
114	отношения к	2	3
115	о ней	3	3
116	к себе	5	3
117	но как	2	3
118	мы имеем	2	3
119	к другому	2	3
120	один из	3	3
121	что он	6	3
122	она может	2	3
123	себе не	2	3
124	так и	9	3
125	или менее	2	3
126	да и	4	3
127	а с	3	3
128	в той	6	3
129	самом деле	2	3
130	хотя бы	4	3
131	тому как	2	3
132	тем более	2	3
133	не то	2	3
134	подобно тому	2	3
135	в основе	5	3
136	может не	3	2
137	то она	2	2
138	в частности	14	2
139	что на	2	2
140	ни в	3	2
141	основе своей	4	2
142	но все	4	2
143	переход от	4	2
144	мог бы	3	2
145	так или	2	2
146	и тем	4	2
147	данном случае	4	2
148	этой точки	2	2
149	во втором	4	2
150	не мог	4	2
151	первом случае	2	2
152	так же	2	2
153	от всех	2	2
154	от одного	2	2
155	в первом	3	2
156	как это	6	2
157	оно может	2	2
158	то есть	19	2
159	на него	3	2
160	о чем	2	2
161	жизни в	3	2
162	не с	3	2
163	различие между	2	2
164	то в	6	2
165	в силу	4	2
166	в качестве	21	2
167	наряду с	2	2
168	он не	3	2
169	и когда	2	2
170	когда он	3	2
171	как в	7	2
172	приводит к	2	2
173	тогда как	12	2
174	если не	4	2
175	как мы	3	2
176	при всем	2	2
177	и его	5	2
178	или иначе	3	2
179	не случайно	2	2
180	без чего	3	2
181	в особенности	4	2
182	это все	2	2
183	не все	5	2
