N	2gram	Nazirov_Tr_1	Problema
1	то есть	3	39
2	то что	4	38
3	и не	7	37
4	и в	18	35
5	не только	8	24
6	том что	4	19
7	о том	2	18
8	может быть	7	18
9	в этом	9	17
10	но и	4	16
11	и что	4	13
12	потому что	2	13
13	не может	5	13
14	в том	2	12
15	что в	4	11
16	прежде всего	4	11
17	так что	2	11
18	не просто	2	11
19	и даже	4	11
20	в таком	2	11
21	и с	7	10
22	еще не	4	10
23	в данном	2	10
24	и то	2	10
25	ничего не	2	10
26	в этой	4	9
27	только о	2	8
28	уже не	2	8
29	все же	5	8
30	тут же	2	8
31	в конце	3	7
32	все эти	3	7
33	не имеет	2	7
34	в его	3	7
35	так и	5	7
36	бы и	2	7
37	тем самым	3	7
38	что все	2	6
39	ни в	2	6
40	но это	4	6
41	о чем	3	6
42	в то	5	6
43	в виде	2	6
44	но в	6	6
45	как будто	3	6
46	в частности	2	5
47	в самом	2	5
48	отнюдь не	3	5
49	данном случае	2	5
50	так же	4	5
51	и на	7	5
52	и все	4	5
53	раз и	2	5
54	как и	5	5
55	то же	5	5
56	в себе	4	5
57	и это	2	5
58	не могут	2	4
59	не был	2	4
60	в своем	3	4
61	как же	2	4
62	и как	3	4
63	как бы	7	4
64	что она	2	4
65	все это	4	4
66	и здесь	2	4
67	тем что	2	4
68	что он	6	4
69	то и	2	4
70	уже в	3	3
71	он сам	7	3
72	точно так	2	3
73	вопрос о	2	3
74	к тому	2	3
75	но эта	2	3
76	несмотря на	5	3
77	никто не	3	3
78	один из	3	3
79	в целом	4	3
80	при этом	3	3
81	он вообще	2	3
82	его в	2	3
83	с тем	2	3
84	одна из	2	3
85	от всего	2	3
86	перед нами	2	2
87	она должна	2	2
88	не в	2	2
89	но все	2	2
90	знает что	2	2
91	что с	3	2
92	и сам	3	2
93	по поводу	2	2
94	к нему	3	2
95	между этими	2	2
96	не так	2	2
97	должно быть	3	2
98	но при	2	2
99	об этом	4	2
100	он не	2	2
101	еще в	2	2
102	что и	2	2
103	ничем не	2	2
104	из самых	2	2
105	и ее	2	2
106	состоит из	2	2
107	собой но	2	2
