N	2gram	Vygotskiy__2	TeoriaLi
1	не только	12	18
2	и не	10	16
3	а в	4	14
4	в частности	3	13
5	и в	32	13
6	состоит в	3	13
7	может быть	18	12
8	так и	3	12
9	то есть	21	12
10	при этом	13	11
11	в этом	13	11
12	в том	37	11
13	но не	2	10
14	а не	7	10
15	и его	7	10
16	в его	2	9
17	то же	13	9
18	сводится к	2	8
19	что в	20	8
20	но и	10	8
21	в себе	2	7
22	том что	21	7
23	в данном	4	7
24	точки зрения	17	7
25	в то	5	7
26	только в	7	7
27	как это	4	7
28	отличие от	2	7
29	место в	2	6
30	с его	2	6
31	же время	2	6
32	еще не	2	6
33	как бы	6	6
34	но в	3	6
35	или иного	2	5
36	в ее	2	5
37	как и	10	5
38	не в	8	5
39	в самом	12	5
40	того или	3	5
41	в нем	4	5
42	данном случае	4	5
43	как в	9	5
44	он не	6	5
45	с другой	3	5
46	между тем	4	5
47	мы имеем	4	5
48	в искусстве	21	5
49	не менее	8	4
50	конечном счете	3	4
51	в свою	3	4
52	ни в	2	4
53	в конечном	3	4
54	в своей	3	4
55	то что	21	4
56	отношение к	2	4
57	в их	3	4
58	не может	17	4
59	художественного впечатления	2	4
60	сказать что	7	4
61	но он	3	4
62	и ее	3	4
63	слова в	2	3
64	никогда не	9	3
65	в этих	2	3
66	в отношении	3	3
67	художественного произведения	5	3
68	и к	3	3
69	а только	3	3
70	тем не	4	3
71	свою очередь	2	3
72	по своему	3	3
73	того что	8	3
74	и сам	4	3
75	например в	3	3
76	с ее	3	3
77	другой стороны	2	3
78	как раз	5	3
79	так в	2	3
80	таким образом	21	3
81	а с	2	3
82	и вот	3	3
83	и что	22	3
84	и по	4	3
85	о ней	4	3
86	и то	3	3
87	потому что	21	3
88	в основе	11	3
89	в этой	6	3
90	отношении к	3	3
91	все эти	7	3
92	в художественном	6	3
93	в произведении	4	3
94	эстетического объекта	2	3
95	к которому	2	3
96	если бы	6	2
97	была бы	2	2
98	к действительности	2	2
99	могут быть	4	2
100	в конце	3	2
101	того же	2	2
102	это не	2	2
103	одного и	2	2
104	этих двух	2	2
105	вовсе не	2	2
106	по себе	12	2
107	что он	13	2
108	к тому	7	2
109	об этом	3	2
110	искусства но	5	2
111	но как	3	2
112	и как	7	2
113	что они	7	2
114	казалось бы	2	2
115	а на	4	2
116	в глаза	2	2
117	к области	3	2
118	для такого	2	2
119	мы в	3	2
120	из которых	2	2
121	вслед за	5	2
122	иначе говоря	4	2
123	в стихе	7	2
124	здесь мы	2	2
125	в виду	3	2
126	и тем	4	2
127	к нему	2	2
128	как говорит	3	2
129	в целом	4	2
130	во всех	3	2
131	вместе с	2	2
132	образом и	4	2
133	не на	2	2
134	как к	3	2
135	в романе	2	2
136	и для	4	2
137	к одному	4	2
138	говорит что	7	2
139	с точки	10	2
140	и даже	5	2
141	так же	18	2
142	роль в	2	2
143	их в	2	2
144	и здесь	2	2
145	как будто	7	2
146	о том	6	2
147	произведения искусства	4	2
148	и это	4	2
149	в чем	4	2
150	в которой	2	2
151	на деле	8	2
152	это было	3	2
