N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	54
2	и не	8	27
3	а не	10	26
4	и в	14	24
5	не только	10	23
6	что такое	4	21
7	по себе	2	20
8	не может	7	19
9	ничего не	2	17
10	что все	2	14
11	то что	7	14
12	может быть	6	13
13	таким образом	2	13
14	что он	2	13
15	но и	4	9
16	что она	2	9
17	прежде всего	8	8
18	что мы	2	8
19	том что	2	8
20	в этом	7	8
21	в самом	2	7
22	даже и	2	7
23	как и	3	7
24	как раз	2	7
25	должна быть	2	6
26	все это	5	6
27	и только	5	6
28	и с	2	6
29	если бы	2	6
30	превращается в	2	6
31	что и	2	6
32	то же	5	6
33	самом деле	2	6
34	в том	2	5
35	но это	2	5
36	в то	3	5
37	по крайней	2	5
38	было бы	3	5
39	крайней мере	2	5
40	мы не	2	5
41	только в	2	5
42	с другой	4	4
43	это не	3	4
44	не могут	2	4
45	хотя бы	5	4
46	на первый	2	4
47	у нас	3	4
48	конечно не	4	4
49	и то	3	4
50	мы и	2	4
51	ни от	2	4
52	для него	3	4
53	все же	3	3
54	но даже	2	3
55	не в	2	3
56	же время	3	3
57	это было	2	3
58	именно как	2	3
59	тем что	2	3
60	если не	2	3
61	в частности	3	2
62	как таковой	2	2
63	не о	3	2
64	и является	2	2
65	другой стороны	3	2
66	для этого	3	2
67	и формы	3	2
68	но в	3	2
69	с его	2	2
70	тех или	2	2
71	перестает быть	5	2
72	в их	4	2
73	по существу	2	2
74	но не	2	2
75	фактов и	2	2
76	только к	3	2
77	и у	2	2
78	и для	2	2
79	нас в	2	2
80	бы то	3	2
81	могут быть	2	2
82	в себе	2	2
83	в его	2	2
