N	2gram	Losev_Vesc_1	KulturaY
1	и т	19	39
2	потому что	16	25
3	и в	21	23
4	т е	55	22
5	не только	36	20
6	в том	8	19
7	в этом	4	18
8	и не	29	16
9	было бы	14	15
10	так как	7	15
11	может быть	16	15
12	т д	19	14
13	точки зрения	5	14
14	если бы	5	12
15	у нас	7	12
16	в самом	9	12
17	все эти	3	12
18	том что	8	11
19	того чтобы	3	11
20	но в	5	11
21	что в	9	10
22	по себе	13	10
23	а не	19	10
24	вовсе не	10	9
25	в сущности	4	9
26	то что	27	9
27	самом деле	4	9
28	для того	2	9
29	хотя бы	6	9
30	можно было	2	9
31	не может	17	9
32	с другой	6	8
33	прежде всего	9	8
34	не в	5	8
35	уже не	9	8
36	и что	15	8
37	и пр	6	8
38	с точки	3	8
39	что это	13	7
40	не менее	3	7
41	в силу	3	7
42	все же	4	7
43	но и	18	7
44	другой стороны	2	7
45	и с	8	7
46	слова в	2	6
47	это не	5	6
48	по крайней	4	6
49	крайней мере	4	6
50	да и	3	6
51	в этой	3	6
52	но не	5	6
53	что не	5	6
54	тем не	3	6
55	то же	6	6
56	ту же	2	6
57	что мы	14	6
58	я не	4	5
59	должна быть	4	5
60	что все	2	5
61	ясно что	8	5
62	об этом	3	5
63	по существу	2	5
64	тот же	3	5
65	еще не	8	5
66	в его	2	5
67	всяком случае	2	5
68	один из	3	5
69	должен быть	2	5
70	и тем	3	5
71	слова и	5	5
72	что же	8	5
73	все это	5	5
74	таким образом	8	5
75	и вот	2	5
76	как это	2	5
77	и то	10	5
78	во всяком	3	5
79	и здесь	4	5
80	только в	14	5
81	также и	6	5
82	мы имеем	7	5
83	была бы	2	4
84	можно ли	7	4
85	отнюдь не	5	4
86	перед нами	2	4
87	бы и	5	4
88	на то	4	4
89	если мы	8	4
90	можно сказать	6	4
91	к тому	3	4
92	что на	2	4
93	но только	3	4
94	для нас	2	4
95	что я	24	4
96	должно быть	6	4
97	или в	2	4
98	от того	3	4
99	хотя и	4	4
100	как бы	12	4
101	однако не	2	4
102	в нем	2	4
103	со стороны	5	4
104	и о	3	4
105	в данном	5	4
106	в результате	3	4
107	сказать что	17	4
108	говорить о	6	4
109	в то	3	4
110	в конце	2	4
111	ничего не	3	4
112	так и	3	4
113	на этом	2	3
114	нисколько не	4	3
115	у него	2	3
116	для этого	4	3
117	что оно	8	3
118	различие между	2	3
119	а только	3	3
120	это и	6	3
121	но это	10	3
122	знает что	2	3
123	того же	5	3
124	совершенно не	5	3
125	но для	2	3
126	никак не	3	3
127	в ней	12	3
128	в сфере	4	3
129	что и	3	3
130	что она	15	3
131	отличается от	7	3
132	как раз	9	3
133	смысл и	9	3
134	с этим	3	3
135	то и	4	3
136	это так	3	3
137	как мы	4	3
138	сводится к	2	3
139	того что	8	3
140	что такое	12	3
141	то или	2	3
142	вот почему	3	3
143	или иначе	4	3
144	а в	4	3
145	и его	2	3
146	конце концов	2	3
147	тем что	2	3
148	выражение в	3	3
149	на это	4	3
150	и это	14	3
151	в виду	2	3
152	смысла и	5	2
153	в отношении	4	2
154	с тем	5	2
155	себе не	3	2
156	и есть	26	2
157	никогда не	2	2
158	но даже	3	2
159	что между	2	2
160	из предыдущего	2	2
161	что у	5	2
162	оно не	3	2
163	с этой	4	2
164	и от	3	2
165	и все	5	2
166	быть не	4	2
167	а следовательно	2	2
168	не просто	19	2
169	как можно	3	2
170	что они	6	2
171	языка как	2	2
172	в самой	2	2
173	в другом	2	2
174	и потому	5	2
175	с одной	3	2
176	свою очередь	4	2
177	бы сказать	2	2
178	нельзя было	4	2
179	но что	2	2
180	в свою	4	2
181	ли это	7	2
182	она не	4	2
183	и если	2	2
184	между прочим	3	2
185	по преимуществу	2	2
186	в свое	2	2
187	и даже	6	2
188	так или	4	2
189	и выражения	2	2
190	но уже	3	2
191	по сравнению	7	2
192	в своей	5	2
193	дело не	2	2
194	данном случае	2	2
195	вообще и	4	2
196	и следовательно	7	2
197	в своем	6	2
198	мы говорим	5	2
199	и для	9	2
200	еще и	8	2
201	нам не	2	2
202	все равно	2	2
203	как и	8	2
204	в той	3	2
205	можно говорить	2	2
206	свое время	2	2
207	должны быть	4	2
208	и у	3	2
209	что значит	8	2
210	всякой иной	3	2
211	той же	2	2
212	словесной природе	2	2
213	с ними	3	2
214	быть только	3	2
215	от этого	2	2
216	не говорит	2	2
217	даже и	4	2
218	и еще	2	2
219	могла бы	3	2
220	ни на	3	2
221	мы должны	2	2
222	а это	4	2
223	то не	4	2
224	не то	4	2
