N	2gram	Voloshinov_1	NovoeSre
1	не может	8	16
2	и в	16	16
3	совсем не	2	12
4	и не	4	11
5	и есть	3	10
6	что в	3	9
7	жизни и	3	8
8	как не	2	8
9	он не	2	8
10	в том	3	8
11	не будет	2	7
12	как и	2	7
13	в этом	9	7
14	может быть	17	7
15	с его	7	6
16	никогда не	2	6
17	не знает	2	6
18	но это	2	6
19	ни в	5	6
20	в нем	4	5
21	все это	4	5
22	в жизни	2	5
23	с ее	4	5
24	и к	6	5
25	не только	7	5
26	не менее	2	4
27	то что	3	4
28	в них	2	4
29	и все	4	4
30	быть может	2	4
31	и для	2	4
32	по своему	2	4
33	прежде всего	9	4
34	и мы	2	4
35	о том	2	4
36	и потому	3	4
37	но и	4	3
38	не есть	2	3
39	не существует	2	3
40	в своей	2	3
41	во всех	3	3
42	и пр	12	3
43	что такое	5	3
44	в основе	3	3
45	конечно не	6	3
46	еще не	5	3
47	за пределы	2	3
48	сказать что	7	3
49	к ним	2	3
50	на протяжении	2	2
51	нем нет	2	2
52	у него	2	2
53	вместе с	3	2
54	так и	4	2
55	для этого	2	2
56	мысли и	4	2
57	и т.п	2	2
58	а в	3	2
59	этом смысле	3	2
60	все эти	5	2
61	нет и	2	2
62	и даже	4	2
63	хотя бы	4	2
64	так же	2	2
65	мы не	2	2
66	том что	3	2
67	есть в	2	2
68	же как	2	2
69	можно назвать	2	2
70	и с	8	2
71	могут быть	3	2
72	с этим	2	2
73	и на	4	2
74	с их	3	2
75	и это	6	2
76	мира и	3	2
77	как это	3	2
78	но в	4	2
79	нашего времени	2	2
