N	2gram	Propp_Russ_2	Myshleni
1	в этом	11	29
2	и в	29	26
3	не только	10	24
4	то что	5	24
5	таким образом	6	23
6	представляет собой	2	19
7	того чтобы	6	19
8	в том	22	18
9	для того	6	18
10	том что	22	17
11	потому что	5	16
12	как и	11	15
13	этом случае	6	14
14	того что	3	14
15	так же	4	14
16	так как	13	14
17	как мы	3	14
18	что в	22	12
19	вместе с	6	12
20	в которой	2	11
21	но и	8	11
22	не может	5	11
23	тем что	3	9
24	же как	4	8
25	то же	4	8
26	что она	3	8
27	ее в	8	8
28	представление о	5	7
29	прежде всего	2	7
30	может быть	13	7
31	мы не	6	7
32	и то	2	7
33	вопрос о	4	6
34	нас к	3	6
35	именно в	4	6
36	как бы	18	6
37	между собой	2	6
38	в ее	3	6
39	и что	5	6
40	было бы	3	6
41	во всех	3	6
42	все эти	3	6
43	все же	2	6
44	связь между	2	6
45	а не	4	6
46	что это	3	6
47	с этой	2	5
48	что с	2	5
49	до конца	3	5
50	одной стороны	2	5
51	в виду	2	5
52	данном случае	7	5
53	с одной	2	5
54	и с	10	5
55	одно из	2	5
56	как это	4	5
57	с тем	6	5
58	тогда когда	4	5
59	в качестве	3	5
60	она не	3	5
61	и для	2	5
62	в данном	6	5
63	не менее	2	4
64	никогда не	2	4
65	с другой	2	4
66	и от	3	4
67	не можем	2	4
68	так что	4	4
69	в котором	3	4
70	в свете	3	4
71	то и	4	4
72	друг друга	3	4
73	в момент	2	4
74	о том	9	4
75	но в	5	4
76	о чем	4	4
77	по этому	2	4
78	связи с	2	4
79	чем в	2	4
80	еще не	6	4
81	как в	7	4
82	это и	2	4
83	не в	4	4
84	для этого	5	3
85	все это	10	3
86	это не	5	3
87	из этих	2	3
88	тем не	2	3
89	в новой	2	3
90	есть в	2	3
91	очевидно что	2	3
92	мы видели	7	3
93	и по	3	3
94	состоит в	15	3
95	об этом	2	3
96	приводит нас	2	3
97	во всем	2	3
98	в то	2	3
99	но не	5	3
100	и другой	3	3
101	и о	3	3
102	в этот	10	3
103	что и	2	3
104	в своей	2	3
105	этому поводу	2	3
106	на самом	2	3
107	к нему	4	3
108	с другими	3	3
109	в этой	3	3
110	в этих	3	2
111	то время	2	2
112	показывает что	8	2
113	что при	2	2
114	что на	2	2
115	для нас	6	2
116	вывод что	2	2
117	для объяснения	2	2
118	или в	7	2
119	одним из	2	2
120	что ее	3	2
121	но если	3	2
122	один из	2	2
123	в их	2	2
124	где они	2	2
125	и других	3	2
126	образом в	2	2
127	эта связь	2	2
128	обе стороны	2	2
129	не имеет	3	2
130	должно быть	2	2
131	а в	9	2
132	что для	3	2
133	в своих	2	2
134	в которых	4	2
135	но он	3	2
136	его в	8	2
137	что по	4	2
138	во время	12	2
139	с этим	2	2
140	к этому	5	2
141	а затем	4	2
142	у нас	4	2
143	и при	2	2
144	из основных	2	2
145	совершенно не	2	2
146	том же	4	2
147	должно было	3	2
148	к ней	2	2
149	с ней	5	2
150	этом и	2	2
151	ее от	2	2
152	из этого	2	2
153	в отличие	3	2
154	того как	2	2
155	должны были	2	2
156	из которых	2	2
157	можно было	2	2
158	могут быть	2	2
159	моментов в	2	2
160	и ее	2	2
161	с другим	2	2
162	отличие от	3	2
