N	2gram	Tiupa_Teor_1	StatiiOP
1	и в	18	25
2	в этом	8	24
3	в том	16	20
4	что в	9	19
5	может быть	17	19
6	том что	9	15
7	в этой	3	14
8	в его	6	12
9	то что	3	12
10	не только	16	12
11	в этих	3	11
12	прежде всего	2	10
13	таким образом	3	10
14	и не	13	10
15	но и	9	9
16	все это	2	8
17	это было	2	8
18	это не	2	7
19	не может	4	7
20	точки зрения	9	7
21	в то	6	7
22	место в	5	6
23	из этих	3	6
24	в конце	2	6
25	не в	7	6
26	только в	6	6
27	а а	5	6
28	как бы	5	6
29	как в	5	6
30	а в	13	6
31	в русской	6	6
32	в области	4	6
33	между тем	5	6
34	то же	7	5
35	в них	2	5
36	потому что	3	5
37	с другой	7	5
38	ни в	2	5
39	об этом	2	5
40	говорит что	2	5
41	такого рода	8	5
42	на почве	4	5
43	и это	2	5
44	а не	9	5
45	того что	4	5
46	другой стороны	5	5
47	он не	3	5
48	так и	10	5
49	мы имеем	7	5
50	но в	9	5
51	состоит в	17	4
52	пушкина что	2	4
53	в жизни	2	4
54	этом смысле	2	4
55	была бы	3	4
56	у нас	2	4
57	как и	4	4
58	то в	2	4
59	в качестве	24	4
60	можно сказать	3	4
61	если бы	3	4
62	и к	3	4
63	а также	6	4
64	и тем	3	4
65	в своей	6	4
66	в целом	3	4
67	отношение к	5	4
68	отличается от	2	4
69	лишь в	6	4
70	с точки	3	4
71	и для	2	4
72	сказать что	3	4
73	в которой	2	4
74	с его	5	3
75	тому что	2	3
76	в какой	2	3
77	же время	5	3
78	в стихотворении	4	3
79	и здесь	2	3
80	для него	2	3
81	и что	3	3
82	одной стороны	2	3
83	обращается к	2	3
84	все эти	2	3
85	не является	4	3
86	своего рода	7	3
87	со стороны	2	3
88	в их	2	3
89	как раз	2	3
90	уже не	4	3
91	и его	8	3
92	в рассказе	2	3
93	но он	3	3
94	говорить о	3	3
95	в другом	3	3
96	к которому	3	3
97	я и	2	3
98	а с	3	2
99	русской поэзии	2	2
100	говорит и	2	2
101	не менее	4	2
102	никогда не	4	2
103	в словаре	2	2
104	в поэзии	2	2
105	в рамках	7	2
106	этих двух	2	2
107	вовсе не	3	2
108	и ее	3	2
109	или иной	4	2
110	к тому	2	2
111	есть в	2	2
112	но не	9	2
113	времени и	2	2
114	того же	3	2
115	в свою	3	2
116	еще не	4	2
117	одной из	2	2
118	в самом	4	2
119	слова как	3	2
120	в виду	5	2
121	если в	2	2
122	один из	2	2
123	тем не	3	2
124	вместе с	2	2
125	дело не	2	2
126	ее в	2	2
127	в форме	2	2
128	не на	2	2
129	в отношении	3	2
130	с ее	3	2
131	с одной	2	2
132	в произведениях	2	2
133	заключается в	2	2
134	во втором	3	2
135	и по	2	2
136	для искусства	2	2
137	на основе	2	2
138	или в	3	2
139	могут быть	4	2
140	имеем в	3	2
141	этого слова	3	2
142	жизни но	2	2
143	то есть	12	2
