N	2gram	Nazirov_Tv_1	Tragedij
1	и в	21	18
2	и оскорбленных	4	17
3	униженных и	4	16
4	в романе	10	10
5	князь валковский	2	9
6	в году	7	9
7	униженные и	2	9
8	в этом	6	9
9	в бесах	3	9
10	и оскорбленные	2	9
11	не только	7	8
12	он сам	6	7
13	и не	7	7
14	достоевский в	3	7
15	и на	7	7
16	и с	3	7
17	может быть	5	7
18	как бы	17	7
19	что он	6	6
20	и его	6	6
21	же время	12	6
22	у него	7	6
23	но в	7	6
24	все же	5	5
25	к жизни	2	5
26	так и	2	5
27	это не	4	5
28	не может	4	5
29	то же	13	5
30	в дальнейшем	3	5
31	как и	12	5
32	у достоевского	28	5
33	в то	15	5
34	но и	3	4
35	то что	8	4
36	в целом	4	4
37	что в	12	4
38	все это	10	4
39	я не	3	4
40	прежде всего	4	4
41	и все	6	4
42	в нем	3	4
43	и даже	3	4
44	так же	3	4
45	том что	11	4
46	но это	5	4
47	в этой	5	4
48	что я	3	4
49	достоевский не	4	4
50	что достоевский	7	4
51	в себе	2	4
52	об этом	2	4
53	записках из	3	3
54	уже в	3	3
55	один из	4	3
56	достоевского в	12	3
57	с ее	3	3
58	романе идиот	4	3
59	отнюдь не	5	3
60	в своем	4	3
61	романтический эстетизм	2	3
62	как в	8	3
63	тем самым	7	3
64	и он	2	3
65	и как	4	3
66	сам достоевский	2	3
67	в основном	4	3
68	в его	13	3
69	для него	6	3
70	при этом	7	3
71	своего рода	4	3
72	как будто	5	3
73	в мире	4	3
74	с ним	3	3
75	то есть	12	3
76	еще в	2	2
77	перед нами	2	2
78	не был	3	2
79	что и	2	2
80	а что	2	2
81	и наказании	4	2
82	белых ночей	3	2
83	в частности	2	2
84	в отличие	2	2
85	князь мышкин	3	2
86	данном случае	2	2
87	романах достоевского	15	2
88	который в	3	2
89	по мнению	3	2
90	что все	3	2
91	романа достоевского	3	2
92	а как	2	2
93	для достоевского	4	2
94	уже не	3	2
95	с его	11	2
96	в преступлении	6	2
97	говорит что	2	2
98	к тому	2	2
99	человеческой личности	3	2
100	времени в	13	2
101	не так	3	2
102	в том	7	2
103	до конца	2	2
104	говорит о	3	2
105	моральный эстетизм	2	2
106	отличие от	2	2
107	так что	2	2
108	не в	2	2
109	мертвого дома	2	2
110	вряд ли	2	2
111	точно так	2	2
112	году в	2	2
113	в данном	2	2
114	в рассказе	3	2
115	не случайно	4	2
116	в записках	4	2
117	одна из	2	2
118	потому что	5	2
119	в первом	2	2
120	лицо его	2	2
121	личности и	2	2
122	в виде	3	2
123	в глаза	2	2
124	было в	2	2
125	неточка незванова	3	2
126	о том	6	2
127	преступлении и	4	2
128	в самом	3	2
129	это уже	5	2
130	не мог	2	2
131	достоевским в	4	2
132	в неточке	2	2
133	он не	8	2
134	что она	2	2
135	никогда не	3	2
136	русской литературы	2	2
