N	2gram	Losev_Dial_4	Myshleni
1	точки зрения	14	26
2	таким образом	5	26
3	в том	11	24
4	и в	15	23
5	том что	10	21
6	с точки	9	18
7	того чтобы	5	17
8	то что	16	17
9	в этом	11	17
10	так же	4	16
11	не только	8	16
12	того что	13	15
13	для того	5	15
14	что в	7	14
15	может быть	17	14
16	но и	4	14
17	как и	7	14
18	в его	4	14
19	не может	11	12
20	как бы	14	11
21	сказать что	6	11
22	прежде всего	11	10
23	в отношении	2	10
24	в качестве	2	9
25	другой стороны	2	9
26	и не	30	9
27	и с	4	9
28	вместе с	2	9
29	заключается в	2	8
30	и на	5	8
31	в основе	10	8
32	нашего исследования	2	8
33	то же	9	8
34	вопрос о	2	7
35	в этой	4	7
36	в самом	2	7
37	в то	6	7
38	так как	14	7
39	с тем	4	7
40	что он	7	7
41	мы не	9	7
42	и ее	8	7
43	с этой	2	6
44	и тем	6	6
45	от того	2	6
46	все это	9	6
47	именно в	5	6
48	лишь в	2	6
49	потому что	10	6
50	с этим	3	6
51	в силу	4	6
52	о том	5	6
53	в сущности	5	6
54	по сравнению	2	6
55	и его	7	6
56	мы можем	3	6
57	тем что	2	6
58	в себе	8	6
59	только в	7	6
60	перед нами	6	5
61	в собственном	3	5
62	можно сказать	5	5
63	и как	4	5
64	на то	5	5
65	по себе	13	5
66	для этого	2	5
67	что мы	7	5
68	мы должны	4	5
69	и все	11	5
70	бы в	4	5
71	если бы	6	5
72	но в	3	5
73	сравнению с	2	5
74	и что	9	5
75	собственном смысле	2	5
76	так и	5	5
77	на основании	3	5
78	тем самым	3	5
79	тем более	6	5
80	она должна	2	4
81	что все	4	4
82	со всей	2	4
83	в свою	3	4
84	только что	2	4
85	не в	8	4
86	в пользу	2	4
87	при этом	2	4
88	что она	5	4
89	в котором	2	4
90	в свете	5	4
91	все эти	3	4
92	в результате	6	4
93	с его	5	4
94	для всех	3	4
95	в одном	4	4
96	к этому	3	4
97	в чем	8	4
98	было бы	9	4
99	в своей	3	4
100	как в	3	4
101	во всей	2	4
102	как раз	4	4
103	хотя бы	4	4
104	мы видим	4	4
105	ни в	8	4
106	только для	3	3
107	я не	5	3
108	что это	13	3
109	в своем	5	3
110	из этих	2	3
111	на все	2	3
112	свою очередь	2	3
113	показывает что	2	3
114	что именно	7	3
115	что они	4	3
116	об этой	2	3
117	и мы	7	3
118	и если	3	3
119	и следовательно	3	3
120	в сфере	5	3
121	в их	3	3
122	то и	2	3
123	отношения к	3	3
124	мы находим	2	3
125	всегда и	3	3
126	вовсе не	6	3
127	во всем	2	3
128	тогда когда	5	3
129	сознания и	3	3
130	что оно	7	3
131	об этом	3	3
132	учение о	5	3
133	во всех	2	3
134	она не	4	3
135	человека и	2	3
136	все же	2	3
137	как чисто	2	3
138	в природе	3	3
139	а не	18	3
140	из которых	3	3
141	и то	3	3
142	во всяком	2	3
143	сам по	2	3
144	могут быть	3	3
145	всей его	2	3
146	в каком	5	3
147	и это	8	3
148	психической жизни	2	3
149	в которой	2	3
150	в области	3	3
151	ничего не	17	3
152	в противоположность	2	2
153	в частности	2	2
154	никогда не	2	2
155	что кроме	2	2
156	представление о	2	2
157	в смысле	5	2
158	и во-вторых	2	2
159	как таковой	5	2
160	но все	2	2
161	на этом	3	2
162	же время	6	2
163	есть прежде	3	2
164	что с	2	2
165	есть все	2	2
166	хотя и	6	2
167	был бы	2	2
168	не имеет	14	2
169	один из	4	2
170	с той	2	2
171	жизни и	4	2
172	той же	5	2
173	и вот	11	2
174	и отношение	4	2
175	и той	3	2
176	и наконец	3	2
177	и даже	6	2
178	должно быть	2	2
179	бы и	3	2
180	это понятие	3	2
181	что этот	2	2
182	в словах	3	2
183	говорить о	11	2
184	тех же	2	2
185	как это	2	2
186	от этого	3	2
187	главным образом	2	2
188	в них	2	2
189	лежит в	3	2
190	ясно что	11	2
191	есть не	5	2
192	природе и	2	2
193	в ее	2	2
194	только тогда	5	2
195	ту или	2	2
196	себе и	2	2
197	в один	3	2
198	за пределы	3	2
199	которые мы	2	2
200	оно есть	4	2
201	и потому	3	2
202	когда он	3	2
203	ее в	2	2
204	мы только	2	2
205	мы хотим	2	2
206	того как	2	2
207	в течение	4	2
208	одной и	3	2
209	мы начинаем	2	2
210	если мы	5	2
211	уже не	9	2
212	и слово	2	2
213	и пр	9	2
214	вот почему	3	2
215	в данном	3	2
216	можно назвать	3	2
217	и при	2	2
218	в виде	3	2
219	как таковая	2	2
220	что если	3	2
221	что эта	2	2
222	едва ли	3	2
223	не могли	2	2
