N	2gram	Bakhtin_KF_1	FransuaR
1	и в	24	65
2	как бы	9	22
3	и не	26	22
4	вовсе не	7	18
5	в том	6	16
6	в этом	14	15
7	но в	5	14
8	в нем	28	13
9	прежде всего	2	11
10	и на	3	11
11	и его	17	10
12	и потому	2	10
13	не только	5	10
14	но и	9	10
15	так и	2	10
16	все эти	10	10
17	в его	40	9
18	во всех	11	9
19	все это	10	9
20	по своему	3	8
21	в своем	16	8
22	в основе	5	8
23	всех этих	3	8
24	культуры и	5	8
25	его в	5	7
26	в области	2	7
27	жизни и	8	7
28	точки зрения	12	7
29	только в	16	7
30	никогда не	5	6
31	не знает	5	6
32	том что	4	6
33	все же	5	6
34	времени и	4	6
35	еще не	4	6
36	при этом	4	6
37	может быть	45	6
38	в ней	3	6
39	на самом	3	6
40	в одном	4	5
41	еще более	2	5
42	жизни в	5	5
43	потому что	2	5
44	или иной	2	5
45	рядом с	3	5
46	для него	8	5
47	и пр	3	5
48	в своей	10	5
49	той или	3	5
50	как в	2	5
51	как и	5	5
52	в своих	3	5
53	между тем	4	5
54	и все	7	5
55	это уже	2	4
56	не в	12	4
57	в этой	2	4
58	отношение к	5	4
59	совершенно не	6	4
60	в их	8	4
61	для нас	4	4
62	мира и	4	4
63	входит в	3	4
64	в жизни	2	4
65	и ни	3	3
66	что в	4	3
67	это не	10	3
68	что он	2	3
69	в ее	16	3
70	но все	5	3
71	но это	6	3
72	самом деле	3	3
73	и эта	2	3
74	но для	2	3
75	о нем	4	3
76	к нему	12	3
77	с точки	9	3
78	то что	7	3
79	и их	6	3
80	не может	27	3
81	мир в	11	3
82	и других	2	3
83	в себя	7	3
84	уже не	7	3
85	менее всего	6	3
86	во всей	4	3
87	жизни как	5	3
88	жить и	2	3
89	он и	2	3
90	в себе	21	3
91	но как	5	3
92	весь мир	2	3
93	и здесь	7	3
94	с ним	5	3
95	ничего не	3	3
96	в виду	3	3
97	мира в	6	3
98	ни к	2	2
99	но не	12	2
100	всех его	2	2
101	раз и	2	2
102	это целое	2	2
103	конечно в	2	2
104	его к	2	2
105	основе своей	2	2
106	от него	3	2
107	до конца	3	2
108	в это	2	2
109	знает и	2	2
110	от того	3	2
111	он не	6	2
112	его на	2	2
113	нет и	3	2
114	и для	9	2
115	в целом	10	2
116	и именно	2	2
117	в процессе	2	2
118	и этим	3	2
119	но эта	5	2
120	мы здесь	2	2
121	того что	3	2
122	что не	3	2
123	к себе	2	2
124	быть только	8	2
125	могут быть	3	2
126	этот мир	2	2
127	это можно	2	2
128	во всем	7	2
129	о том	3	2
130	жизни но	3	2
131	и это	12	2
132	дело в	2	2
133	бы быть	5	2
134	в чем	4	2
135	это было	2	2
