N	2gram	Vinokur_Vv_1	Myshleni
1	в том	31	42
2	том что	26	35
3	таким образом	19	25
4	точки зрения	7	24
5	в этом	34	24
6	в качестве	7	21
7	и в	27	20
8	что в	11	19
9	заключается в	4	18
10	то же	8	16
11	то что	17	15
12	не только	21	15
13	как мы	9	13
14	с другой	8	12
15	при этом	3	12
16	в их	11	12
17	потому что	14	12
18	может быть	24	12
19	в целом	5	11
20	так же	3	11
21	в его	10	11
22	с точки	2	11
23	этого слова	2	11
24	того что	12	10
25	в истории	9	10
26	так как	13	10
27	в отношении	2	10
28	и то	5	10
29	в себе	4	10
30	только в	13	10
31	и как	9	9
32	одной стороны	4	9
33	но и	5	9
34	другой стороны	5	9
35	с одной	4	9
36	между тем	8	9
37	как это	5	9
38	как и	5	9
39	того же	3	9
40	что и	3	9
41	и не	13	8
42	и тем	5	8
43	и что	4	8
44	в результате	3	8
45	тогда когда	3	8
46	этом смысле	11	8
47	было бы	5	8
48	вместе с	6	8
49	понятия в	2	8
50	в собственном	2	7
51	как бы	5	7
52	смысле этого	8	7
53	этом отношении	3	7
54	что мы	2	7
55	же самое	2	7
56	в своей	4	7
57	собственном смысле	2	7
58	самом деле	6	7
59	а не	3	7
60	того чтобы	21	7
61	тем что	6	7
62	могут быть	4	7
63	уже в	5	6
64	одного и	2	6
65	к тому	4	6
66	же как	3	6
67	такого рода	2	6
68	мы видели	2	6
69	в самом	12	6
70	этот процесс	3	6
71	не может	13	6
72	и на	3	6
73	сказать что	5	6
74	его в	6	6
75	с тем	6	6
76	что он	4	6
77	в силу	3	6
78	той же	4	6
79	можно было	7	6
80	в частности	3	5
81	никогда не	3	5
82	это не	8	5
83	раньше чем	3	5
84	обе эти	2	5
85	что такое	10	5
86	говорит он	2	5
87	если бы	2	5
88	и его	5	5
89	с этим	2	5
90	все же	8	5
91	и того	2	5
92	о том	15	5
93	речь идет	2	5
94	одной и	2	5
95	для того	21	5
96	все эти	3	5
97	мы можем	2	5
98	тому что	2	4
99	в своем	3	4
100	как уже	2	4
101	что с	3	4
102	и той	2	4
103	по мере	4	4
104	из них	3	4
105	на том	3	4
106	что оно	2	4
107	и те	2	4
108	с этой	4	4
109	как он	6	4
110	и с	2	4
111	состоит в	2	4
112	к этому	3	4
113	его к	2	4
114	и при	2	4
115	по своему	5	4
116	в сущности	3	4
117	по сравнению	3	4
118	только что	4	4
119	между ними	2	4
120	не в	8	4
121	и для	4	4
122	во всяком	3	4
123	в области	4	4
124	на этом	3	3
125	не могут	5	3
126	не менее	8	3
127	в этих	3	3
128	в какой	4	3
129	точно так	2	3
130	а только	8	3
131	и история	3	3
132	так что	5	3
133	в этой	3	3
134	но что	3	3
135	к истории	6	3
136	себе и	2	3
137	от того	3	3
138	одной из	3	3
139	в виду	4	3
140	всяком случае	3	3
141	один из	6	3
142	со стороны	12	3
143	в связи	2	3
144	именно в	8	3
145	и других	3	3
146	должно быть	2	3
147	но в	10	3
148	своему значению	2	3
149	сравнению с	3	3
150	этом случае	6	3
151	по существу	2	3
152	представляет собой	12	3
153	во всем	2	3
154	чем в	3	3
155	но не	7	3
156	наряду с	2	3
157	в обоих	2	3
158	себя в	2	3
159	внимание на	4	3
160	этого понятия	5	3
161	на этот	4	3
162	в виде	4	3
163	связи с	3	3
164	в чем	4	3
165	связана с	4	2
166	в основу	2	2
167	должна быть	2	2
168	все более	3	2
169	понятно что	3	2
170	целом ряде	2	2
171	мы называем	2	2
172	в каждом	4	2
173	прежде всего	8	2
174	со всей	3	2
175	находятся в	2	2
176	что если	2	2
177	что это	3	2
178	для объяснения	2	2
179	том чтобы	6	2
180	одним из	5	2
181	в ней	3	2
182	но вместе	2	2
183	в нем	13	2
184	к нему	2	2
185	от других	2	2
186	из истории	2	2
187	к выводу	6	2
188	данном случае	5	2
189	смысле и	2	2
190	в отличие	3	2
191	не просто	4	2
192	этой области	3	2
193	действительности в	2	2
194	выводу что	5	2
195	не имеет	4	2
196	а в	5	2
197	вообще не	3	2
198	также и	16	2
199	виде в	2	2
200	в данном	11	2
201	из этих	5	2
202	но как	2	2
203	в начале	3	2
204	что здесь	2	2
205	когда мы	2	2
206	мы имеем	3	2
207	в известном	3	2
208	нисколько не	3	2
209	уже и	7	2
210	это в	2	2
211	представить себе	5	2
212	ясно что	9	2
213	стороны и	3	2
214	том виде	3	2
215	знаний и	4	2
216	еще не	4	2
217	не бывает	2	2
218	свое время	2	2
219	том же	2	2
220	в свое	2	2
221	а также	3	2
222	не есть	4	2
223	что уже	3	2
224	мысли и	2	2
225	только на	3	2
226	и тогда	3	2
227	связь между	4	2
228	входит в	2	2
229	тогда как	2	2
230	момента в	2	2
231	того как	3	2
232	путь от	2	2
233	в той	7	2
234	может служить	3	2
235	и т.д	4	2
236	на котором	2	2
237	как оно	3	2
238	и это	6	2
239	здесь не	2	2
240	который по	2	2
241	отличие от	3	2
