N	3gram	Vinokur_Vv_1	Myshleni
1	для того чтобы	21	14
2	по отношению к	4	12
3	в том что	12	11
4	с точки зрения	2	9
5	в известном смысле	3	7
6	по сравнению с	3	5
7	можно сказать что	3	5
8	в этом отношении	3	5
9	заключается в том	3	5
10	потому что он	2	5
11	то же самое	2	4
12	в другом месте	2	4
13	о том что	12	4
14	на этот вопрос	3	4
15	сама по себе	3	4
16	и того же	2	3
17	мере в какой	4	3
18	состоит в том	2	3
19	на вопрос о	4	3
20	с одной стороны	4	3
21	можно было бы	3	3
22	одного и того	2	3
23	в этом случае	6	3
24	до сих пор	5	3
25	в той мере	4	3
26	той мере в	4	3
27	не может быть	8	3
28	вопрос о том	5	3
29	вообще не может	2	2
30	не до конца	2	2
31	именно в этом	3	2
32	в отличие от	3	2
33	же самое что	2	2
34	в свое время	2	2
35	в самом деле	5	2
36	самой своей природе	2	2
37	само по себе	3	2
38	с другой стороны	5	2
39	по самой своей	2	2
40	как мы видели	2	2
41	вместе с тем	3	2
42	что представляет собой	3	2
43	и то что	2	2
44	но все же	3	2
