N	2gram	Berdyaev_O_1	OGranits
1	и в	19	13
2	и его	4	12
3	прежде всего	9	9
4	не может	4	8
5	и не	13	8
6	может быть	11	8
7	в его	7	7
8	не только	11	6
9	то что	5	6
10	как бы	3	6
11	все же	2	5
12	хотя бы	3	5
13	в своей	2	4
14	все это	6	4
15	только и	4	4
16	лишь в	7	4
17	было бы	3	4
18	но в	2	4
19	что в	4	3
20	никогда не	9	3
21	но и	13	3
22	так и	2	3
23	что же	2	3
24	и все	10	3
25	в ее	2	3
26	как и	6	3
27	не в	11	3
28	в которой	2	3
29	и то	2	3
30	в себе	3	3
31	и для	2	3
32	так как	2	3
33	подойти к	2	2
34	уже в	2	2
35	в нем	10	2
36	ее в	2	2
37	а не	11	2
38	в этот	2	2
39	а в	5	2
40	все эти	4	2
41	и к	2	2
42	не имеет	2	2
43	в том	5	2
44	том что	2	2
45	в своих	3	2
46	что они	2	2
47	в этом	12	2
48	учение о	2	2
49	тем что	2	2
50	могут быть	3	2
51	и ее	3	2
52	для него	5	2
53	в другом	2	2
54	нет ничего	7	2
55	в самом	5	2
