N	2gram	Voloshinov_2	Psycholo
1	и в	19	38
2	то что	4	35
3	все время	2	30
4	в том	7	25
5	в самом	6	25
6	самом деле	9	21
7	что в	2	20
8	может быть	28	19
9	на то	4	16
10	точки зрения	17	16
11	в ней	3	15
12	то есть	2	15
13	если бы	11	14
14	том что	10	14
15	как бы	19	14
16	в этой	3	13
17	в этом	15	13
18	было бы	4	12
19	не только	13	12
20	мы увидим	2	12
21	таким образом	14	12
22	не в	10	12
23	что он	4	11
24	что это	2	10
25	в сущности	14	10
26	то же	16	10
27	же самое	6	10
28	и не	19	10
29	и все	6	10
30	с точки	13	9
31	в двух	3	9
32	того чтобы	6	9
33	все же	5	8
34	перед нами	3	8
35	с этим	3	8
36	вовсе не	11	8
37	как и	9	8
38	и как	6	8
39	как раз	4	8
40	для того	6	8
41	и то	3	8
42	и это	3	8
43	с другой	3	7
44	в ее	3	7
45	а не	9	7
46	мы можем	6	7
47	не может	18	7
48	как мы	15	7
49	а в	3	7
50	между тем	6	7
51	мы уже	6	7
52	все то	2	7
53	и здесь	5	6
54	к тому	6	6
55	мы видели	4	6
56	с самого	5	6
57	до сих	3	6
58	в котором	3	6
59	не имеет	3	6
60	тому что	4	6
61	он не	3	6
62	с одной	3	6
63	так как	3	6
64	если мы	6	6
65	и его	16	6
66	и на	5	6
67	самого начала	5	6
68	о том	3	6
69	там где	2	6
70	должна быть	4	5
71	в своем	2	5
72	в какой	3	5
73	одной стороны	3	5
74	совершенно не	5	5
75	в своей	3	5
76	вместе с	2	5
77	но и	10	5
78	сих пор	3	5
79	в той	5	5
80	к которым	3	5
81	или в	2	5
82	мы не	2	5
83	в другом	3	5
84	в его	5	5
85	так сказать	14	5
86	никогда не	7	4
87	в тех	2	4
88	из него	2	4
89	что они	2	4
90	в свою	6	4
91	при этом	9	4
92	и для	7	4
93	конечно не	4	4
94	во всех	6	4
95	в нем	11	4
96	что и	3	4
97	все эти	3	4
98	здесь мы	3	4
99	того что	4	4
100	и даже	2	4
101	сказать что	4	4
102	у него	2	4
103	только в	8	4
104	одна из	7	4
105	в себе	4	4
106	место в	2	3
107	как на	2	3
108	в речи	2	3
109	к этому	5	3
110	из одного	4	3
111	так называемой	2	3
112	ни в	6	3
113	он был	2	3
114	конечно в	3	3
115	того же	5	3
116	одно и	3	3
117	и о	2	3
118	в основе	9	3
119	и значение	6	3
120	должен быть	2	3
121	как если	4	3
122	не к	3	3
123	бы не	2	3
124	что не	2	3
125	не так	2	3
126	в таком	7	3
127	и тем	4	3
128	тем что	2	3
129	это одно	2	3
130	далеко не	2	3
131	в то	8	3
132	бы в	4	3
133	его в	7	3
134	но в	7	3
135	более и	2	2
136	в данном	5	2
137	но они	2	2
138	и более	7	2
139	все более	2	2
140	в этих	3	2
141	смысле этого	4	2
142	отнюдь не	8	2
143	следует что	4	2
144	хотя бы	6	2
145	столь же	3	2
146	лежит в	2	2
147	на самом	7	2
148	во всяком	3	2
149	что оно	3	2
150	но что	2	2
151	и ее	4	2
152	только что	3	2
153	до конца	2	2
154	у нас	3	2
155	находятся в	2	2
156	из всего	2	2
157	свою очередь	5	2
158	или вернее	2	2
159	здесь в	2	2
160	для него	9	2
161	от своего	2	2
162	слов и	3	2
163	ли это	2	2
164	они не	2	2
165	всяком случае	2	2
166	все те	4	2
167	можем сказать	2	2
168	совершенно иначе	2	2
169	так же	5	2
170	в одной	2	2
171	нами в	3	2
172	отношения к	2	2
173	в виде	2	2
174	а с	2	2
175	той же	3	2
176	в качестве	3	2
177	не имеют	3	2
178	и следовательно	6	2
179	это же	2	2
180	к его	2	2
181	но как	2	2
182	в истории	3	2
183	его к	2	2
184	этого слова	5	2
185	однако и	2	2
186	ничего не	4	2
187	это будет	2	2
